,과 목,제 9 기말,제 8 기말,제 7 기말,제9기(2019.1.1-2019.12.31),제8기(2018.1.1-2018.12.31),제7기(2017.1.1-2017.12.31),제 9 기,제 8 기,제 7 기
0,자 산,nan0,nan0,nan0,nan,nan,nan,nan,nan,nan
1,Ⅰ. 현금및예치금,41484984673830,32128491129110,31421473203940,nan,nan,nan,nan,nan,nan
2,Ⅱ. 당기손익-공정가치금융자산,38392241859600,34718526519800,14000999993350,nan,nan,nan,nan,nan,nan
3,Ⅲ.기타포괄손익-공정가치금융자산,52670695041190,50309917974030,-0,nan,nan,nan,nan,nan,nan
4,Ⅳ. 매도가능금융자산,-0,-0,58220061098480,nan,nan,nan,nan,nan,nan
5,Ⅴ. 상각후원가금융자산,75347610689320,67987682634980,-0,nan,nan,nan,nan,nan,nan
6,Ⅵ.만기보유금융자산,-0,-0,66713167187780,nan,nan,nan,nan,nan,nan
7,Ⅶ. 대출채권및수취채권,806572260387790,776298065965670,752918820682000,nan,nan,nan,nan,nan,nan
8,Ⅷ. 파생상품자산,359600220030,303620481530,796045600120,nan,nan,nan,nan,nan,nan
9,Ⅸ. 관계기업 및 공동기업 투자,5511077305080,4650989348250,629977214270,nan,nan,nan,nan,nan,nan
10,X. 유형자산,9776284425900,8875447873970,8556443127830,nan,nan,nan,nan,nan,nan
11,XI. 무형자산,2663770005160,2716517431890,3127689597460,nan,nan,nan,nan,nan,nan
12,XII. 투자부동산,2241824446360,1981728475930,1864153762590,nan,nan,nan,nan,nan,nan
13,XIV. 이연법인세자산,-0,-0,16576691510,nan,nan,nan,nan,nan,nan
14,XV. 기타자산,10367361503770,7964831731050,5234363832080,nan,nan,nan,nan,nan,nan
15,자 산 총 계,1045387710558030,987935819566210,943499771991410,nan,nan,nan,nan,nan,nan
16,부 채,nan0,nan0,nan0,nan,nan,nan,nan,nan,nan
17,Ⅰ. 예수부채,766095396238220,733801096219540,698245919039800,nan,nan,nan,nan,nan,nan
18,Ⅱ. 차입부채,50792284469140,56158886973960,51164214964160,nan,nan,nan,nan,nan,nan
19,Ⅲ. 사채,101857560514890,85906584375020,88074077569970,nan,nan,nan,nan,nan,nan
20,Ⅳ. 파생상품부채,425398135620,572747648030,1158228086980,nan,nan,nan,nan,nan,nan
21,Ⅴ. 순확정급여부채,845356191300,719999323830,317291095410,nan,nan,nan,nan,nan,nan
22,Ⅵ. 충당부채,452578529380,426561602760,449727879750,nan,nan,nan,nan,nan,nan
23,Ⅶ. 당기법인세부채,1035892527460,350694619800,338789401180,nan,nan,nan,nan,nan,nan
24,Ⅷ. 이연법인세부채,614354444300,470876870190,209769417950,nan,nan,nan,nan,nan,nan
25,Ⅸ. 기타부채,31457185320060,25278753099510,26981559581360,nan,nan,nan,nan,nan,nan
26,부 채 총 계,953576006370370,903686200732640,866939577036560,nan,nan,nan,nan,nan,nan
27,자 본,nan0,nan0,nan0,nan,nan,nan,nan,nan,nan
28,Ⅰ. 지배기업 소유주에게 귀속되는 자본,82837130387660,76269781834360,70575607779120,nan,nan,nan,nan,nan,nan
29,1.자본금,16296762300000,16296762300000,16296762300000,nan,nan,nan,nan,nan,nan
30,2.신종자본증권,7078743200000,5085213710000,2592770110000,nan,nan,nan,nan,nan,nan
31,3.기타불입자본,7867829813430,7867829813430,7867829813430,nan,nan,nan,nan,nan,nan
32,4.기타자본구성요소,"(32,524,354,519)0","(51,005,140,203)0","(36,056,130,481)0",nan,nan,nan,nan,nan,nan
33,5.이익잉여금,51919038619420,47530027412960,44178806860500,nan,nan,nan,nan,nan,nan
34,Ⅱ. 비지배지분,8974573800000,7979836999210,5984587175730,nan,nan,nan,nan,nan,nan
35,자 본 총 계,91811704187660,84249618833570,76560194954850,nan,nan,nan,nan,nan,nan
36,부 채 와 자 본 총 계,1045387710558030,987935819566210,943499771991410,nan,nan,nan,nan,nan,nan
37,I. 순이자손익,nan0,nan0,nan0,2186774084366,2343540969389,2280621371763,nan,nan,nan
38,1. 이자수익,nan0,nan0,nan0,3629260871613,3628802880198,3353377247296,nan,nan,nan
39,당기손익-공정가치금융자산 이자수익,nan0,nan0,nan0,58856100831,44474468294,32384758467,nan,nan,nan
40,기타포괄손익-공정가치금융자산 및 상각후원가금융자산 이자수익,nan0,nan0,nan0,3570404770782,3584328411904,3320992488829,nan,nan,nan
41,2. 이자비용,nan0,nan0,nan0,"(1,442,486,787,247)","(1,285,261,910,809)","(1,072,755,875,533)",nan,nan,nan
42,II. 순수수료손익,nan0,nan0,nan0,246436930975,203947489317,159712829583,nan,nan,nan
43,1. 수수료수익,nan0,nan0,nan0,369970927777,353560645967,312532837787,nan,nan,nan
44,2. 수수료비용,nan0,nan0,nan0,"(123,533,996,802)","(149,613,156,650)","(152,820,008,204)",nan,nan,nan
45,III. 당기손익-공정가치금융자산순이익,nan0,nan0,nan0,101500948456,44431976859,15013894084,nan,nan,nan
46,IV. 기타포괄손익-공정가치금융자산순이익,nan0,nan0,nan0,18326916748,14122117698,-,nan,nan,nan
47,V. 매도가능금융자산관련순이익,nan0,nan0,nan0,-,-,38224989205,nan,nan,nan
48,VI. 상각후원가금융자산관련순손실,nan0,nan0,nan0,"(309,501,320)","(21,351,289)",-,nan,nan,nan
49,VII. 신용손실 충당금 전입액 등,nan0,nan0,nan0,"(324,269,628,399)","(462,600,088,668)","(619,465,509,457)",nan,nan,nan
50,VIII. 일반관리비,nan0,nan0,nan0,"(1,273,365,032,416)","(1,264,740,277,050)","(1,137,666,864,868)",nan,nan,nan
51,IX. 기타영업손익,nan0,nan0,nan0,"(148,211,943,042)","(128,847,624,123)","(142,117,043,881)",nan,nan,nan
52,1. 외환거래순손익,nan0,nan0,nan0,34700927945,27496978043,60631526003,nan,nan,nan
53,2. 파생상품관련순이익,nan0,nan0,nan0,29425388417,25093168811,"(21,733,154,549)",nan,nan,nan
54,3. 기타영업수익,nan0,nan0,nan0,321482644857,261851651794,185235534476,nan,nan,nan
55,4. 기타영업비용,nan0,nan0,nan0,"(533,820,904,261)","(443,289,422,771)","(366,250,949,811)",nan,nan,nan
56,X. 영업이익,nan0,nan0,nan0,806882775368,749833212133,594323666429,nan,nan,nan
57,XI. 영업외손익,nan0,nan0,nan0,"(13,508,281,396)","(31,195,391,835)","(36,573,722,001)",nan,nan,nan
58,1. 관계기업투자손익,nan0,nan0,nan0,14738148015,5680339037,"(152,189,851)",nan,nan,nan
59,2. 기타수익,nan0,nan0,nan0,33776112098,27467359949,17600406863,nan,nan,nan
60,3. 기타비용,nan0,nan0,nan0,"(62,022,541,509)","(64,343,090,821)","(54,021,939,013)",nan,nan,nan
61,XII. 법인세비용차감전순이익,nan0,nan0,nan0,793374493972,718637820298,557749944428,nan,nan,nan
