,과 목,제 62 (당) 기,제 61 (전) 기,제 60 (전전) 기
0,"Ⅰ.현금및현금성자산(주석 9,37)",4055552000000,4723503000000,2276606000000
1,"Ⅱ.당기손익인식금융자산(주석 4,9)",2861654000000,2094584000000,2337133000000
2,"Ⅲ.매도가능금융자산(주석 5,9)",146042900000000,138214702000000,131894930000000
3,"Ⅳ.만기보유금융자산(주석 6,9)",297696000000,328992000000,421906000000
4,"V.대출채권및기타수취채권(주석 7,9)",67072166000000,60503788000000,36462636000000
5,"Ⅵ.위험회피목적파생상품자산(주석 8,9)",689402000000,314897000000,82796000000
6,Ⅶ.관계기업투자(주석 10),1629010000000,1490325000000,2603098000000
7,"Ⅷ.금융리스채권(주석 7,9)",559238000000,792448000000,-000000
8,IX.매각예정자산(주석 40),49691000000,260415000000,6530000000
9,X.투자부동산(주석 11),6812422000000,6854774000000,7555922000000
10,XI.유형자산(주석 12),1065818000000,1454095000000,1756873000000
11,XII.무형자산(주석 13),1004315000000,876511000000,520765000000
12,XIII.당기법인세자산,543749000000,198549000000,171289000000
13,XIV.이연법인세자산(주석 20),765000000,5322000000,-000000
14,XV.기타자산(주석 14),4705774000000,5035748000000,4686714000000
15,XVI.특별계정자산(주석 15),45323665000000,41505148000000,39585698000000
16,자 산 총 계,"282,713,817==================000000","264,653,801==================000000","230,362,896==================000000"
17,nan,nan000000,nan000000,nan000000
18,Ⅰ.보험계약부채(주석 16),166897872000000,158729147000000,149118213000000
19,Ⅱ.계약자지분조정(주석 18),9599619000000,8075517000000,6969288000000
20,"Ⅲ.당기손익인식금융부채(주석 9,19)",15441000000,71468000000,47981000000
21,"Ⅳ.기타금융부채(주석 9,19)",19663333000000,18546201000000,4202160000000
22,"Ⅴ.위험회피목적파생상품부채(주석 8,9)",239429000000,721269000000,620184000000
23,Ⅵ.당기법인세부채,78715000000,69599000000,15174000000
24,Ⅶ.이연법인세부채(주석 20),6668710000000,4976383000000,4427612000000
25,Ⅷ.충당부채(주석 21),239350000000,309532000000,162282000000
26,Ⅸ.기타부채(주석 22),1009339000000,988811000000,506663000000
27,X.특별계정부채(주석 15),47180437000000,43857426000000,40571594000000
28,부 채 총 계,251592245000000,236345353000000,206641151000000
