,Unnamed: 0,제 47 기,제 46 기,제 45 기
0,자산,nan0,nan0,nan0
1,유동자산,3213417474870,2948636101400,258032863231.00
2,현금및현금성자산,414047350300,478079404580,31530038905.00
3,금융기관예치금,69000000000,41700000000,0.00
4,매매목적파생상품자산,801050000,177600000,0.00
5,매출채권,1313086695980,1031169591920,92863797392.00
6,기타채권,12476693950,35231142610,1517053145.00
7,당기법인세자산,5467923360,3395006390,171943771.00
8,기타유동자산,49702606420,54276958670,4927000400.00
9,재고자산,1348835154860,1304606397230,108696131359.00
10,유동당기손익인식지정금융자산,00,00,9602715863.00
11,매각예정자산,00,00,8724182396.00
12,비유동자산,4588987500520,4738226680880,455740091822.00
13,매도가능금융자산,60613770000,54975841700,3663874450.00
14,만기보유금융자산,460050000,55050000,0.00
15,장기기타채권,68628213060,66041220180,6576468575.00
16,관계기업주식,00,5558500000,555850000.00
17,이연법인세자산,169856119630,205861593620,20169804930.00
18,기타비유동자산,2205044000,1836477170,214490328.00
19,유형자산,3994925251580,4134728330170,392536537237.00
20,투자부동산,31263312300,31693500120,3212368794.00
21,무형자산,261035739950,237476167920,27382562419.00
22,장기금융기관예치금,00,00,1410000000.00
23,장기매출채권,00,00,18135089.00
24,자산총계,7802404975390,7686862782280,713772955053.00
25,부채,nan0,nan0,nan0
26,유동부채,1499262675790,4168102860500,137682130812.00
27,매매목적파생상품부채,916800000,13900000,0.00
28,매입채무,780140378440,672805738590,57540710006.00
29,기타채무,344614586760,418839025330,41262754234.00
30,단기차입금,304823546230,616844681860,22983074170.00
31,유동성장기부채,00,2400000000000,0.00
32,당기법인세부채,8433956650,4946882250,1335642718.00
33,유동성충당부채,6105123560,11021943390,1878411747.00
34,기타유동부채,54228284150,43630689080,6294237725.00
35,매각예정으로 분류된 처분자산집단에 포함된 부채,00,00,6387300212.00
36,비유동부채,2711974737540,207593331400,259522415892.00
37,장기기타채무,109529065450,126462459130,12650847453.00
38,장기차입금,2550000000000,00,240000000000.00
39,순확정급여부채,51299113000,79740389520,6507962604.00
40,충당부채,1146559090,1390482750,363605835.00
41,부채총계,4211237413330,4375696191900,397204546704.00
42,자본,nan0,nan0,nan0
43,지배기업의 소유주에게 귀속되는 자본,3591152841930,3311151779980,316567016780.00
44,자본금,2372307570000,2372307570000,237230757000.00
45,자본잉여금,12167274970,00,0.00
46,이익잉여금,1216649488590,936339086340,77727550542.00
47,기타포괄손익누계액,"(2,363,549,416)0","(652,760,717)0",705436157.00
48,기타자본구성요소,13664002530,9032730810,903273081.00
49,비지배지분,14720130,14810400,1391569.00
50,자본총계,3591167562060,3311166590380,316568408349.00
51,자본과부채총계,7802404975390,7686862782280,713772955053.00
52,매출액,9461517142150,8727835555950,8564570558500
53,매출원가,8359396389520,7585675929410,7244641822380
54,매출총이익,1102120752630,1142159626540,1319928736120
55,판매비와관리비,765308006150,745623184810,833319747630
56,영업이익,336812746480,396536441730,486608988490
57,기타영업외수익,103067686440,143617114100,176636459200
58,기타영업외비용,96956364480,284670651700,277467668850
59,종속및관계기업처분손익,8831672770,00,"(434,385,789)0"
60,금융수익,12450704750,12516756690,29792748250
61,금융비용,71815795140,86412977010,78155152490
62,법인세비용차감전순이익(손실),292390650820,181586683810,333071516710
63,법인세비용,40421402560,28383289860,114530668300
64,당기순이익(손실),251969248260,153203393950,218540848410
65,기타포괄손익,11233176730,"(772,088,706)0","(1,197,998,519)0"
66,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(1,710,857,646)0","(1,358,246,109)0",11035980650
67,해외사업환산손익,"(2,265,389,003)0","(2,788,539,690)0",20936760950
68,매도가능금융자산평가손익의 세후재분류조정,5545313570,14302935810,"(1,010,751,076)0"
69,지분법자본변동,nan0,nan0,206730460
70,당기손익으로 재분류되지 않는항목(세후기타포괄손익),28341753190,5861574030,"(2,301,596,584)0"
71,순확정급여부채의 재측정요소,28341753190,5861574030,"(2,279,575,820)0"
72,지분법이익잉여금변동,00,00,"(22,020,764)0"
73,총포괄손익,263202424990,145482506890,206560863220
74,당기순이익(손실)의 귀속,nan0,nan0,nan0
75,지배기업의 소유주에게 귀속되는 당기순이익(손실),251967905710,145481612180,206560589780
76,비지배지분에 귀속되는 당기순이익(손실),1342550,894710,273440
