,Unnamed: 0,제 27 기,제 26 기,제 25 기
0,자산,nan000000,nan000000,nan000000
1,유동자산,35198911000000,32450042000000,29765131000000
2,현금및현금성자산,7145842000000,7086957000000,6995224000000
3,매출채권,11538468000000,10398471000000,10177906000000
4,단기미수금,1991725000000,1828941000000,1654688000000
5,재고자산,8177933000000,6018855000000,5643327000000
6,유동매도가능금융자산,188603000000,179448000000,153340000000
7,기타유동자산,5632223000000,6301260000000,5090707000000
8,매각예정자산,524117000000,636110000000,49939000000
9,비유동자산,74578009000000,70597295000000,66868678000000
10,장기매출채권,12908000000,24188000000,45251000000
11,장기미수금,321154000000,205584000000,117161000000
12,비유동매도가능금융자산,1596033000000,1527092000000,1906664000000
13,관계기업및공동기업투자,14629502000000,11559899000000,11157775000000
14,유형자산,41286418000000,41032505000000,39445286000000
15,투자부동산,622846000000,727783000000,797808000000
16,영업권,899213000000,575233000000,27078000000
17,영업권 이외의 무형자산,11451616000000,11197157000000,9722351000000
18,이연법인세자산,734524000000,711591000000,629235000000
19,기타비유동자산,3023795000000,3036263000000,3020069000000
20,자산총계,109776920000000,103047337000000,96633809000000
21,부채,nan000000,nan000000,nan000000
22,유동부채,31368049000000,28716610000000,25919322000000
23,단기차입금,2999032000000,2614117000000,2726701000000
24,단기매입채무,9588642000000,8897260000000,7430851000000
25,단기미지급금,3610562000000,3241765000000,2392058000000
26,유동충당부채,246800000000,420803000000,305020000000
27,유동성장기부채,6548146000000,5629577000000,5493380000000
28,기타유동부채,8230998000000,7850072000000,7569563000000
29,매각예정부채,143869000000,63016000000,1749000000
30,비유동부채,32652451000000,32004003000000,30637237000000
31,사채및장기차입금,23359518000000,23133506000000,23496303000000
32,장기미지급금,3740381000000,4601776000000,3034627000000
33,확정급여부채,257783000000,229378000000,265703000000
34,비유동충당부채,167002000000,104331000000,135480000000
35,이연법인세부채,3988276000000,3098508000000,2960464000000
36,기타의비유동부채,1139491000000,836504000000,744660000000
37,부채총계,64020500000000,60720613000000,56556559000000
38,자본,nan000000,nan000000,nan000000
