,Unnamed: 0,제 54 기,제 53 기,제 52 기
0,자산,nan0,nan0,nan0
1,유동자산,12248547740964.00,13338032506951.00,12469315864941.00
2,현금및현금성자산,2993152157548.00,2698530047186.00,2066404434255.00
3,단기금융상품,100721485460.00,1058872464092.00,65704789868.00
4,단기매도가능금융자산,nan0,2032555147.00,1089494861.00
5,기타포괄손익-공정가치측정금융자산,309125000.00,nan0,nan0
6,매출채권,4992458818939.00,5383852843921.00,5633953353495.00
7,기타유동자산,2628871860637.00,2881915458432.00,3316118299112.00
8,재고자산,1533034293380.00,1312829138173.00,1386045493350.00
9,매각예정자산,71956527636.00,20521949341.00,71815776563.00
10,비유동자산,36728398668810.00,31099960933371.00,29820299323633.00
11,매도가능금융자산,nan0,17497195967700.00,15975618367945.00
12,당기손익-공정가치측정금융자산,24438662149.00,nan0,nan0
13,기타포괄손익-공정가치측정금융자산,23204423401454.00,nan0,nan0
14,"종속기업, 관계기업 및 공동기업투자",5741754249092.00,5699709108051.00,5642058394513.00
15,유형자산,4985943781942.00,5281208823038.00,5134281873664.00
16,투자부동산,671660504028.00,116280966914.00,133046246566.00
17,생물자산,2203705000.00,2504971000.00,2415119435.00
18,무형자산,1311472279052.00,1601302846865.00,1840171861983.00
19,이연법인세자산,75375626898.00,52815645641.00,43095015908.00
20,기타비유동자산,711126459195.00,848942604162.00,1049612443619.00
21,자산총계,49048902937410.00,44458515389663.00,42361430965137.00
22,부채,nan0,nan0,nan0
23,유동부채,14458305947005.00,14704948364331.00,15074383088757.00
24,매입채무,1785617349572.00,1823809668627.00,1738438472545.00
25,단기차입금,2093310312358.00,1865815270275.00,2286527547843.00
26,유동성장기채무,1346801023457.00,1607366876850.00,1516718657849.00
27,당기법인세부채,51742303246.00,51527848972.00,150110379697.00
28,기타유동부채,9180834958372.00,9356428699607.00,9382588030823.00
29,비유동부채,9439346864019.00,8647856338361.00,8973112258044.00
30,사채 및 장기차입금,2594095375918.00,3657277698204.00,3943011404511.00
31,순확정급여부채,58356609520.00,100687333311.00,121425319331.00
32,이연법인세부채,6295262683649.00,4253106577684.00,3942461720724.00
33,충당부채,257024735087.00,278292233656.00,240658946590.00
34,기타비유동부채,234607459845.00,358492495506.00,725554866888.00
35,부채총계,23897652811024.00,23352804702692.00,24047495346801.00
36,자본,nan0,nan0,nan0
37,지배기업 소유주지분,22556751660320.00,18301586552940.00,16501678477652.00
38,자본금,19131748300.00,19131748300.00,19131748300.00
39,자본잉여금,10468265087341.00,10468266027901.00,10039685039551.00
40,기타자본,6313949716829.00,2584211217939.00,1231965571627.00
41,이익잉여금,5755405107850.00,5229977558800.00,5210896118174.00
42,비지배지분,2594498466066.00,2804124134031.00,1812257140684.00
43,자본총계,25151250126386.00,21105710686971.00,18313935618336.00
44,자본과부채총계,49048902937410.00,44458515389663.00,42361430965137.00
45,매출액,292790455178620,281026838226180,133446753704140
46,매출원가,256269900527180,247709513803270,111987221623690
47,매출총이익,36520554651440,33317324422910,21459532080450
48,판매비와관리비,27707871102980,31922078510200,21088148586290
49,영업이익(손실),8812683548460,1395245912710,371383494160
50,기타수익,10833825206390,14993076873670,35103008480810
51,기타비용,9231250382110,13640118857200,5581363057420
52,금융수익,2203583803880,3204383360760,1030129980170
53,금융비용,3128581729080,3544706124850,1557809199980
54,지분법이익,194819896100,167333165200,28420499510
55,지분법손실,1434965902740,1677417013800,1636475284980
56,법인세비용차감전순이익(손실),8250114440900,897797316490,27757294912270
57,법인세비용,3439069665500,689378047360,900783750810
58,당기순이익(손실),4811044775400,208419269130,26856511161460
59,기타포괄손익,36803967240870,13778110838990,4578793766200
60,후속적으로 당기손익으로 재분류되는 포괄손익,"(174,538,336,975)0",13832813038900,4752367950530
61,후속적으로 당기손익으로 재분류되지 않는 포괄손익,38549350610620,"(5,470,219,991)0","(17,357,418,433)0"
62,총포괄손익,41615012016270,13986530108120,31435304927660
63,당기순이익(손실)의 귀속,nan0,nan0,nan0
64,지배기업 소유주지분,6397979434170,1073569468620,27468123049470
65,비지배지분,"(158,693,465,877)0","(86,515,019,949)0","(61,161,188,801)0"
66,총 포괄손익의 귀속,nan0,nan0,nan0
67,지배기업 소유주지분,43622104342500,14757319804890,31931524335070
68,비지배지분,"(200,709,232,623)0","(77,078,969,677)0","(49,621,940,741)0"
69,주당이익,nan0,nan0,nan0
70,기본주당순이익(손실) (단위 : 원),38790,6500,206360
71,영업활동으로 인한 현금흐름,13124363204570,13553952432670,"(62,347,860,144)0"
72,영업으로부터 창출된 현금,10909021889060,14112956500290,2232858426770
73,이자의 수취,1760053372670,1649459031380,390564185580
74,이자의 지급,"(194,783,333,963)0","(244,899,856,936)0","(110,469,075,744)0"
75,배당금의 수취,4274283992700,2784120952650,765399278380
76,법인세의 납부,"(187,116,271,023)0","(254,358,548,229)0","(290,760,973,473)0"
77,투자활동으로 인한 현금흐름,2799382122420,"(812,089,431,935)0",23686318649740
78,투자활동으로 인한 현금유입액,15025440305930,12063535235280,29196703296790
79,매각예정자산의 처분,nan0,860844790730,560529074860
80,단기금융상품의 순감소,9525508497870,nan0,443082735370
81,단기대여금의 회수,17883616230,448308340890,56073403370
82,유동성장기채권의 감소,99657551970,567691624590,3861571930
83,당기손익-공정가치측정금융자산의처분,130548978500,nan0,nan0
84,기타포괄손익-공정가치측정금융자산의처분,476985451770,nan0,nan0
85,매도가능금융자산의 처분,nan0,4257553479070,17946897710
86,종속기업투자의 처분,2083285570,42630057510,119986596080
87,관계기업 및 공동기업투자의 처분,2257187740770,3249832001900,215045485250
88,장기채권의 회수,374692320630,422560075410,nan0
89,보증금의 감소,820333626350,1032225846310,453589421150
90,유형자산의 처분,729503965060,1076223422490,263970917650
91,무형자산의 처분,585774298480,13852130870,33768200640
92,투자부동산의 처분,5270972730,64632053090,nan0
93,사업결합으로 인한 현금유입,nan0,nan0,27028813733480
94,기타비유동자산의 처분,10000000,27181412420,35259300
95,투자활동으로 인한 현금유출액,"(1,222,605,818,351)0","(2,018,442,955,463)0","(551,038,464,705)0"
96,단기금융상품의 순증가,nan0,"(992,902,675,084)0",nan0
97,당기손익-공정가치측정금융자산의취득,"(2,985,720,602)0",nan0,nan0
98,기타포괄손익-공정가치측정금융자산의취득,"(15,282,164,354)0",nan0,nan0
99,매도가능금융자산의 취득,nan0,"(108,117,362,400)0","(9,158,034,500)0"
100,관계기업 및 공동기업투자의 취득,"(248,708,922,167)0","(273,196,966,501)0","(155,017,988,480)0"
101,해외자원개발자금의 증가,nan0,"(82,729,389)0","(77,428,573)0"
102,장기채권의 증가,"(134,484,747,449)0","(45,717,953,318)0","(25,332,403,143)0"
103,보증금의 증가,"(76,641,050,095)0","(63,179,931,463)0","(48,253,381,153)0"
104,유형자산의 취득,"(678,034,328,084)0","(484,652,084,528)0","(259,491,792,474)0"
105,무형자산의 취득,"(64,060,704,106)0","(48,192,575,741)0","(41,123,765,852)0"
106,사업결합등으로 인한 현금유출액,nan0,nan0,"(11,109,599,564)0"
107,기타비유동자산의 증가,"(2,408,181,494)0","(2,400,677,039)0","(1,474,070,966)0"
108,재무활동으로 인한 현금흐름,"(1,116,682,251,249)0",1224277954440,"(527,369,324,170)0"
109,재무활동으로 인한 현금유입액,7577931467790,28465154628410,2561840126260
110,단기차입금의 순증가,2583614711450,nan0,1400615107080
111,사채의 발행,2491517400000,8672038000000,nan0
112,장기차입금의 차입,2502799356340,5113887813240,1161225019180
113,비지배지분의 순증감,nan0,14679228815170,nan0
114,재무활동으로 인한 현금유출액,"(1,874,475,398,028)0","(2,724,087,667,397)0","(783,553,336,796)0"
115,단기차입금의 순감소,nan0,"(482,351,088,022)0",nan0
116,유동성장기채무의 상환,"(1,493,038,038,245)0","(1,129,547,142,113)0","(320,785,238,071)0"
117,장기차입금의 조기상환,"(284,424,579,084)0","(348,586,598,944)0","(21,642,851,513)0"
118,금융보증부채의 지급,nan0,nan0,"(20,000,000,000)0"
119,임대보증금의 감소,nan0,nan0,"(15,159,443)0"
120,배당금의 지급,"(90,786,051,600)0","(83,893,023,550)0",nan0
121,자기주식의 취득,nan0,"(675,525,660,200)0","(415,596,177,929)0"
122,비지배지분에 대한 배당,"(4,963,700,010)0","(2,808,968,079)0","(3,649,566,165)0"
123,비지배지분의 순증감,nan0,nan0,"(179,472,948)0"
124,기타자본의 증감,"(1,263,029,089)0","(1,375,186,489)0","(1,684,870,727)0"
125,환율변동효과 반영전 현금및현금성자산의 순증가(감소),4756922814500,6657336067760,17789146806600
126,현금및현금성자산에 대한 환율변동효과,"(181,070,171,088)0","(33,607,993,845)0","(17,239,651,789)0"
127,현금및현금성자산의순증가(감소),2946221103620,6321256129310,17616750288710
128,기초현금및현금성자산,26985300471860,20664044342550,3047294053840
129,기말현금및현금성자산,29931521575480,26985300471860,20664044342550
