,과 목,주 석,제 16(당)기,제 15(전)기,주석
86,6. 배당금수취,nan0,705751604190,356965031300,nan
87,7. 법인세 납부액,nan0,"(118,427,929,151)0","(99,945,363,484)0",nan
88,II. 투자활동으로 인한 현금흐름,nan0,409752414820,"(2,142,085,622,719)0",nan
89,1. 매도가능금융자산의 취득,nan0,"(5,776,530,264,190)0","(4,177,809,700,981)0",nan
90,2. 매도가능금융자산의 처분,nan0,61729744175000,21608905247440,nan
91,3. 만기보유금융자산의 취득,nan0,"(214,746,171,776)0",-0,nan
92,4. 관계기업투자의 취득,nan0,"(176,797,588,820)0","(117,892,347,081)0",9
93,5. 관계기업투자의 처분,nan0,578067932520,325901977740,"9, 34"
94,6. 유형자산의 취득,nan0,"(40,475,867,358)0","(20,006,111,562)0",11
95,7. 유형자산의 처분,nan0,1009891030,35198403710,"11, 34"
96,8. 무형자산의 취득,nan0,"(51,185,838,193)0","(14,278,122,279)0",12
97,9. 무형자산의 처분,nan0,9623999700,10888177600,"12, 34"
98,10. 투자부동산의 처분,nan0,147938936800,57181039630,"13, 34"
99,11. 대여금의 증감,nan0,"(11,391,617,955)0","(3,316,340,235)0",nan
100,12. 종속기업의 취득,nan0,-0,"(14,059,957,304)0",nan
101,13. 종속기업의 처분,nan0,615394947560,-0,nan
102,14. 보증금의 감소,nan0,37389540130,47783616280,nan
103,15. 기타자산의 증감,nan0,1856475000,"(3,308,889,517)0",nan
104,III. 재무활동으로 인한 현금흐름,nan0,40751403376520,21086159245570,nan
105,1. 차입부채의 차입,nan0,71638047239880,45311029559360,nan
106,2. 차입부채의 상환,nan0,"(3,264,826,056,554)0","(2,460,000,000,000)0",nan
107,3. 배당금의 지급,nan0,"(47,061,671,774)0","(58,737,349,757)0",nan
108,4. 비지배지분(부채)의 증감,nan0,2232233419920,962503183780,nan
109,IV. 현금및현금성자산의 환율변동효과,nan0,"(5,007,535,635)0",16655199440,nan
110,V. 현금및현금성자산 감소 (= I + II + III + IV),nan0,"(88,007,432,908)0","(57,337,197,412)0",nan
111,VI. 기초 현금및현금성자산,nan0,6425864970400,6999236944520,"5, 37"
112,VII. 기말 현금및현금성자산,nan0,5545790641320,6425864970400,"5, 37"
