,Unnamed: 0,제 53 기,제 52 기,제 51 기
0,자산,nan0,nan0,nan0
1,유동자산,2825601802470,2564733630750,2937322714180
2,현금및현금성자산,291407957480,162560948670,689196520120
3,매출채권 및 기타유동채권,1082743285500,1072037277590,964839859030
4,재고자산,506111299710,379028463840,480571275370
5,매도가능금융자산(유동),nan0,160050000,1887300000
6,기타유동금융자산,876914034290,896512950910,753568414260
7,기타유동자산,68425225490,46705965180,47021872680
8,당기법인세자산,nan0,7727974560,237472720
9,비유동자산,2860961414350,2566740996140,2326062914850
10,장기매출채권 및 기타비유동채권,nan0,nan0,6377800020
11,매도가능금융자산(비유동),9197219600,192550877400,179079298200
12,관계기업투자주식,707737888130,nan0,nan0
13,유형자산,1959937315080,1620334248020,1910774784560
14,무형자산,32453196420,31175401130,26206923350
15,투자부동산,nan0,29015633280,29374060970
16,기타비유동금융자산,98762719010,621281470290,115383584590
17,기타비유동자산,8791088120,432948170,7471740420
18,확정급여자산,20870911310,55416523240,32972547470
19,이연법인세자산,23211076680,16533894610,18422175270
20,자산총계,5686563216820,5131474626890,5263385629030
21,부채,nan0,nan0,nan0
22,유동부채,867545949820,545345298480,711589028850
23,매입채무 및 기타유동채무,725842372330,458761141030,508896588840
24,단기차입금,59184716940,65774171470,105390881120
25,기타유동금융부채,583100000,318680000,nan0
26,기타유동부채,12349131540,18906769420,19818177200
27,당기법인세부채,69586629010,1584536560,77483381690
28,비유동부채,30279039930,25834654190,9239965280
29,확정급여부채,4524768620,4783110070,4874969160
30,기타비유동금융부채,10239158440,3746195260,4282850640
31,기타비유동부채,12917021760,17050548720,nan0
32,비유동충당부채,2598091110,nan0,nan0
33,이연법인세부채,nan0,254800140,82145480
34,부채총계,897824989750,571179952670,720828994130
35,자본,nan0,nan0,nan0
36,지배기업의 소유주에게 귀속되는 자본,4788738227070,4560294674220,4542556634900
37,자본금,113678065000,113678065000,113678065000
38,자본잉여금,483524834160,483524834160,483524834160
39,기타자본,"(7,167,910,343)0","(7,167,910,343)0","(2,131,616,543)0"
40,기타포괄손익누계액,"(1,594,632,824)0",5980474840,"(684,933,441)0"
41,기타적립금,3937540554450,3857540554450,3650740554450
42,이익잉여금(결손금),341620205130,171249849200,322778681130
43,자본총계,4788738227070,4560294674220,4542556634900
44,자본과부채총계,5686563216820,5131474626890,5263385629030
45,매출액,4823636387260,463195441524.00,5231142227790
46,매출원가,4281969065690,435863878970.00,4912487838200
47,매출총이익,541667321570,27331562554.00,318654389590
48,판매비와관리비,241278236450,22471626784.00,242605144280
49,영업이익(손실),300389085120,4859935770.00,76049245310
50,기타수익,141012471990,12412536185.00,130684086110
51,기타비용,142909816730,9465676742.00,99089663720
52,금융수익,28265619890,3627807155.00,30607974850
53,금융비용,6082279520,178636716.00,2918465690
54,투자이익,66515762590,672748800.00,121160675430
55,지분법이익,50121923330,nan0,nan0
56,법인세비용차감전순이익(손실),437312766670,11928714452.00,256493852290
57,법인세비용,100748348810,2330240680.00,46838645540
58,당기순이익(손실),336564417860,9598473772.00,209655206750
59,기타포괄손익,"(4,231,862,101)0",3944140360.00,23261528550
60,당기손익으로 재분류될 수 있는 항목,nan0,nan0,nan0
61,매도가능금융자산평가손익,218707890,934896582.00,"(2,328,742,397)0"
62,해외사업환산손익,"(2,064,046,674)0",348084343.00,6413624210
63,지분법자본변동,"(150,504,423)0",nan0,nan0
64,당기손익으로 재분류되지 않는항목,nan0,nan0,nan0
65,확정급여제도의 재측정손익,"(2,029,997,862)0",2661159435.00,40135328310
66,지분법이익잉여금,"(9,183,931)0",nan0,nan0
67,총포괄손익,294245796850,13542614132.00,232916735300
68,당기순이익(손실)의 귀속,nan0,nan0,nan0
69,지배기업의 소유주지분,336564417860,9598473772.00,209655206750
70,비지배지분,nan0,nan0,nan0
71,총 포괄손익의 귀속,nan0,nan0,nan0
72,지배기업의 소유주지분,294245796850,13542614132.00,232916735300
73,비지배지분,nan0,nan0,nan0
74,주당이익,nan0,nan0,nan0
75,보통주기본주당손익 (단위 : 원),15360,437.00,9350
76,우선주기본주당이익 (단위 : 원),15410,442.00,9400
77,영업활동현금흐름,482869203370,310821015460,560155430660
78,당기순이익(손실),336564417860,95984737720,209655206750
79,비현금 조정,240714229630,711473319670,417046221460
80,재고자산평가손실(환입),23953517590,"(1,546,473,450)0",41399289150
81,재고자산폐기손실,29838855920,34900768590,34018462400
82,퇴직급여,58158870770,361918599380,47544480070
83,감가상각비,291769629520,333387653870,399468416880
84,무형자산상각비,410330120,351019320,495348780
85,대손상각비,"(729,435,963)0",25847248860,7146836080
86,기타의 대손상각비,nan0,nan0,4313379010
87,외화환산이익,"(238,862,385)0","(3,217,275,492)0","(1,844,626,689)0"
88,유형자산처분이익,"(1,078,509,786)0","(548,819,249)0","(2,546,531,170)0"
89,무형자산처분이익,"(556,131,818)0",nan0,nan0
90,투자부동산처분이익,"(7,048,318,749)0",nan0,nan0
91,외화환산손실,33592580450,3426831770,7908694150
92,유형자산처분손실,2515995130,4088622250,20094015500
93,무형자산처분손실,2747687900,69145540,nan0
94,무형자산손상차손,nan0,609112000,12999576480
95,매도금융자산처분이익,"(5,978,827,459)0",nan0,"(11,443,069,845)0"
96,파생상품평가손실,4149547160,nan0,nan0
97,지분법이익,"(5,012,192,333)0",nan0,nan0
98,운전자본조정,"(9,440,944,412)0","(49,663,704,193)0","(6,654,599,755)0"
99,매출채권,"(2,459,397,529)0","(13,102,187,098)0",161533060900
100,기타채권,"(1,091,964,194)0",30941507460,15138231430
101,재고자산,"(17,852,744,227)0",84475447370,"(5,978,507,228)0"
102,기타금융자산,"(196,767,737)0","(86,554,109)0",nan0
103,기타유동자산,"(2,171,926,031)0",315907500,23452931420
104,기타비유동비금융자산,"(230,576,896)0",7038792250,"(734,392,544)0"
105,당기법인세자산,7727974560,"(749,050,184)0",1154167090
106,이연법인세자산,6903337180,1888280660,"(3,235,101,076)0"
107,매입채무,57501585140,"(7,937,778,563)0","(9,054,076,636)0"
108,기타채무,61323544390,18233493480,41819681150
109,기타금융부채,2607836020,"(21,797,538)0","(483,240,000)0"
110,기타유동부채,"(655,763,788)0","(91,140,778)0",11400331550
111,기타비유동부채,"(413,352,696)0",17050548720,22787600
112,충당부채,2598091110,nan0,nan0
113,당기법인세부채,68002092450,"(7,589,884,513)0",nan0
114,이연법인세부채,"(25,480,014)0","(1,122,875,871)0","(2,819,906,400)0"
115,퇴직금의지급,"(16,970,585)0","(756,833,283)0","(1,398,069,085)0"
116,확정급여부채,"(4,992,446,800)0","(34,200,000,000)0","(8,403,425,900)0"
