,종목코드,종목명
0,138930,BS금융지주
1,001040,CJ
2,000120,CJ대한통운
3,097950,CJ제일제당
4,078930,GS
5,007070,GS리테일
6,105560,KB금융
7,002380,KCC
8,030200,KT
9,033780,KT&G
10,093050,LF
11,003550,LG
12,034220,LG디스플레이
13,001120,LG상사
14,068870,LG생명과학
15,051900,LG생활건강
16,032640,LG유플러스
17,011070,LG이노텍
18,066570,LG전자
19,108670,LG하우시스
20,051910,LG화학
21,006260,LS
22,010120,LS산전
23,035420,NAVER
24,010060,OCI
25,005490,POSCO
26,064960,S&T모티브
27,003570,S&T중공업
28,010950,S-Oil
29,034120,SBS
30,003600,SK
31,034730,SK C&C
32,011790,SKC
33,001740,SK네트웍스
34,096770,SK이노베이션
35,006120,SK케미칼
36,017670,SK텔레콤
37,000660,SK하이닉스
38,035250,강원랜드
39,010130,고려아연
40,002240,고려제강
41,009290,광동제약
42,007690,국도화학
43,011780,금호석유
44,073240,금호타이어
45,000270,기아차
46,024110,기업은행
47,003920,남양유업
48,025860,남해화학
49,002350,넥센타이어
50,006280,녹십자
51,004370,농심
52,019680,대교
53,004130,대덕GDS
54,008060,대덕전자
55,000210,대림산업
56,001680,대상
57,047040,대우건설
58,047050,대우인터내셔널
59,042660,대우조선해양
60,006800,대우증권
61,069620,대웅제약
62,000430,대원강업
63,006650,대한유화
64,001440,대한전선
65,003490,대한항공
66,008000,도레이케미칼
67,001230,동국제강
68,000990,동부하이텍
69,005830,동부화재
70,000640,동아쏘시오홀딩스
71,170900,동아에스티
72,007340,동아타이어
73,013570,동양기전
74,049770,동원F&B
75,000150,두산
76,082740,두산엔진
77,042670,두산인프라코어
78,034020,두산중공업
79,115390,락앤락
80,023530,롯데쇼핑
81,004990,롯데제과
82,005300,롯데칠성
83,011170,롯데케미칼
84,002270,롯데푸드
85,060980,만도
86,009680,모토닉
87,009580,무림P&P
88,033920,무학
89,037620,미래에셋증권
90,084870,베이직하우스
91,003000,부광약품
92,005180,빙그레
93,005090,삼광글라스
94,005610,삼립식품
95,006400,삼성SDI
96,000830,삼성물산
97,032830,삼성생명
98,028050,삼성엔지니어링
99,009150,삼성전기
100,005930,삼성전자
101,004000,삼성정밀화학
102,010140,삼성중공업
103,016360,삼성증권
104,029780,삼성카드
105,012450,삼성테크윈
106,000810,삼성화재
107,000070,삼양홀딩스
108,007860,서연
109,008490,서흥
110,004490,세방전지
111,001430,세아베스틸
112,003030,세아제강
113,033530,세종공업
114,004430,송원산업
115,029530,신도리코
116,004170,신세계
117,055550,신한지주
118,003410,쌍용양회
119,003620,쌍용차
120,002790,아모레G
121,090430,아모레퍼시픽
122,010780,아이에스동서
123,005850,에스엘
124,012750,에스원
125,078520,에이블씨엔씨
126,036570,엔씨소프트
127,003520,영진약품
128,000670,영풍
129,007310,오뚜기
130,001800,오리온
131,053000,우리금융
132,005940,우리투자증권
133,014830,유니드
134,000100,유한양행
135,139480,이마트
136,005950,이수화학
137,007570,일양약품
138,020760,일진디스플
139,020150,일진머티리얼즈
140,033240,자화전자
141,030000,제일기획
142,000480,조선내화
143,006380,카프로
144,007810,코리아써키트
145,002020,코오롱
146,120110,코오롱인더
147,021240,코웨이
148,005740,크라운제과
149,003240,태광산업
150,016800,퍼시스
151,051310,포스코플랜텍
152,103140,풍산
153,086790,하나금융지주
154,000080,하이트진로
155,000140,하이트진로홀딩스
156,036460,한국가스공사
157,071050,한국금융지주
158,025540,한국단자
159,002960,한국쉘석유
160,015760,한국전력
161,104700,한국철강
162,161890,한국콜마
163,161390,한국타이어
164,000240,한국타이어월드와이드
165,047810,한국항공우주
166,018880,한라비스테온공조
167,128940,한미약품
168,020000,한섬
169,105630,한세실업
170,004150,한솔제지
171,004710,한솔테크닉스
172,003300,한일시멘트
173,051600,한전KPS
174,052690,한전기술
175,097230,한진중공업
176,000700,한진해운홀딩스
177,000880,한화
178,088350,한화생명
179,009830,한화케미칼
180,000720,현대건설
181,086280,현대글로비스
182,012330,현대모비스
183,010620,현대미포조선
184,069960,현대백화점
185,012630,현대산업
186,011200,현대상선
187,017800,현대엘리베이
188,011210,현대위아
189,004020,현대제철
190,009540,현대중공업
191,003450,현대증권
192,005380,현대차
193,010520,현대하이스코
194,008770,호텔신라
195,010690,화신
196,004800,효성
197,093370,후성
198,079980,휴비스
199,069260,휴켐스
200,006360,GS건설
201,025000,KPX케미칼
202,077970,STX엔진
203,103130,웅진에너지
204,001300,제일모직
205,001630,종근당홀딩스
206,044820,코스맥스
207,005690,파미셀
208,009420,한올바이오파마
