,종목코드,종목명
0,138930,BS금융지주
1,001040,CJ
2,000120,CJ대한통운
3,097950,CJ제일제당
4,078930,GS
5,006360,GS건설
6,105560,KB금융
7,002380,KCC
8,025000,KPX케미칼
9,030200,KT
10,033780,KT&G
11,003550,LG
12,034220,LG디스플레이
13,001120,LG상사
14,068870,LG생명과학
15,051900,LG생활건강
16,032640,LG유플러스
17,011070,LG이노텍
18,066570,LG전자
19,093050,LG패션
20,108670,LG하우시스
21,051910,LG화학
22,006260,LS
23,010120,LS산전
24,035420,NHN
25,010060,OCI
26,005490,POSCO
27,064960,S&T모티브
28,003570,S&T중공업
29,010950,S-Oil
30,034120,SBS
31,003600,SK
32,034730,SK C&C
33,011790,SKC
34,001740,SK네트웍스
35,096770,SK이노베이션
36,006120,SK케미칼
37,017670,SK텔레콤
38,000660,SK하이닉스
39,011810,STX
40,077970,STX엔진
41,067250,STX조선해양
42,028670,STX팬오션
43,035250,강원랜드
44,000050,경방
45,010130,고려아연
46,002240,고려제강
47,007690,국도화학
48,011780,금호석유
49,073240,금호타이어
50,000270,기아차
51,024110,기업은행
52,003920,남양유업
53,025860,남해화학
54,002350,넥센타이어
55,006280,녹십자
56,004370,농심
57,019680,대교
58,008060,대덕전자
59,000210,대림산업
60,001680,대상
61,047040,대우건설
62,047050,대우인터내셔널
63,042660,대우조선해양
64,006800,대우증권
65,069620,대웅제약
66,000430,대원강업
67,006650,대한유화
68,001440,대한전선
69,001130,대한제분
70,003490,대한항공
71,001230,동국제강
72,016380,동부제철
73,000990,동부하이텍
74,008040,동아원
75,000640,동아제약
76,007340,동아타이어
77,001520,동양
78,013570,동양기전
79,000150,두산
80,082740,두산엔진
81,042670,두산인프라코어
82,034020,두산중공업
83,115390,락앤락
84,002270,롯데삼강
85,023530,롯데쇼핑
86,004990,롯데제과
87,005300,롯데칠성
88,011170,롯데케미칼
89,060980,만도
90,009680,모토닉
91,009580,무림P&P
92,033920,무학
93,037620,미래에셋증권
94,084870,베이직하우스
95,003000,부광약품
96,005180,빙그레
97,005090,삼광유리
98,006400,삼성SDI
99,000830,삼성물산
100,032830,삼성생명
101,028050,삼성엔지니어링
102,009150,삼성전기
103,005930,삼성전자
104,004000,삼성정밀화학
105,010140,삼성중공업
106,016360,삼성증권
107,029780,삼성카드
108,012450,삼성테크윈
109,000810,삼성화재
110,000070,삼양홀딩스
111,051310,성진지오텍
112,004490,세방전지
113,001430,세아베스틸
114,003030,세아제강
115,033530,세종공업
116,004430,송원산업
117,029530,신도리코
118,004170,신세계
119,055550,신한지주
120,003410,쌍용양회
121,003620,쌍용차
122,002790,아모레G
123,090430,아모레퍼시픽
124,010780,아이에스동서
125,003190,알앤엘바이오
126,005850,에스엘
127,012750,에스원
128,078520,에이블씨엔씨
129,036570,엔씨소프트
130,000670,영풍
131,007310,오뚜기
132,001800,오리온
133,004940,외환은행
134,053000,우리금융
135,005940,우리투자증권
136,103130,웅진에너지
137,008000,웅진케미칼
138,014830,유니드
139,000100,유한양행
140,005950,이수화학
141,007570,일양약품
142,020760,일진디스플
143,020150,일진머티리얼즈
144,103590,일진전기
145,030000,제일기획
146,001300,제일모직
147,000480,조선내화
148,001630,종근당
149,006380,카프로
150,002020,코오롱
151,120110,코오롱인더
152,021240,코웨이
153,003240,태광산업
154,005690,파미셀
155,103140,풍산
156,086790,하나금융지주
157,000080,하이트진로
158,000140,하이트진로홀딩스
159,036460,한국가스공사
160,071050,한국금융지주
161,025540,한국단자
162,002960,한국쉘석유
163,015760,한국전력
164,104700,한국철강
165,000240,한국타이어월드와이드
166,018880,한라공조
167,128940,한미약품
168,020000,한섬
169,105630,한세실업
170,004150,한솔제지
171,004710,한솔테크닉스
172,009420,한올바이오파마
173,003300,한일시멘트
174,007860,한일이화
175,052690,한전기술
176,097230,한진중공업
177,003480,한진중공업홀딩스
178,000700,한진해운홀딩스
179,000880,한화
180,088350,한화생명
181,009830,한화케미칼
182,000720,현대건설
183,086280,현대글로비스
184,012330,현대모비스
185,010620,현대미포조선
186,069960,현대백화점
187,012630,현대산업
188,011200,현대상선
189,017800,현대엘리베이
190,011210,현대위아
191,004020,현대제철
192,009540,현대중공업
193,003450,현대증권
194,005380,현대차
195,010520,현대하이스코
196,010690,화신
197,004800,효성
198,093370,후성
199,069260,휴켐스
200,007070,GS리테일
201,004130,대덕GDS
202,005830,동부화재
203,049770,동원F&B
204,139480,이마트
205,007810,코리아써키트
206,044820,코스맥스
207,016800,퍼시스
208,047810,한국항공우주
209,079980,휴비스
