,과 목,제 60 (당) 기,제 59 (전) 기,제 58 (전전) 기
0,"Ⅰ.현금및현금성자산(주석 9,37)",2276606000000,4216720000000,3026800000000
1,"Ⅱ.당기손익인식금융자산(주석 4,9)",2337133000000,2542066000000,594869000000
2,"Ⅲ.매도가능금융자산(주석 5,9)",131894930000000,123984920000000,112693370000000
3,"Ⅳ.만기보유금융자산(주석 6,9)",421906000000,748147000000,748808000000
4,"V.대출채권및기타수취채권(주석 7,9)",36462636000000,32687421000000,29793530000000
5,"Ⅵ.위험회피목적파생상품자산(주석 8,9)",82796000000,165433000000,495748000000
6,Ⅶ.관계기업투자(주석 10),2603098000000,2463717000000,2372841000000
7,Ⅷ. 매각예정자산(주석 41),6530000000,2195000000,-000000
8,IX.투자부동산(주석 11),7555922000000,6146006000000,6310399000000
9,X.유형자산(주석 12),1756873000000,1800669000000,1783521000000
10,XI.무형자산(주석 13),520765000000,451404000000,193790000000
11,XII.당기법인세자산,171289000000,382000000,51330000000
12,XIII.이연법인세자산(주석 20),-000000,12000000,64000000
13,XIV.기타자산(주석 14),4686714000000,4815483000000,4859176000000
14,XV.특별계정자산(주석 15),39585698000000,34409139000000,30015137000000
15,자 산 총 계,"230,362,896==================000000","214,433,714=================000000","192,939,383=================000000"
16,nan,nan000000,nan000000,nan000000
17,Ⅰ.보험계약부채(주석 16),149118213000000,138982550000000,128760951000000
18,Ⅱ.계약자지분조정(주석 18),6969288000000,6771704000000,6028917000000
19,"Ⅲ.당기손익인식금융부채(주석 9,19)",47981000000,89443000000,97750000000
20,"Ⅳ.기타금융부채(주석 9,19)",4202160000000,3318418000000,2164529000000
21,"Ⅴ.위험회피목적파생상품부채(주석 8,9)",620184000000,528978000000,579136000000
22,Ⅵ.당기법인세부채,15174000000,5880000000,759000000
23,Ⅶ.이연법인세부채(주석 20),4427612000000,4195262000000,3620619000000
24,Ⅷ.충당부채(주석 21),162282000000,157222000000,98009000000
25,Ⅸ.기타부채(주석 22),500307000000,503705000000,470914000000
26,X.특별계정부채(주석 15),40577950000000,37595813000000,32087408000000
27,부 채 총 계,206641151000000,192148975000000,173908992000000
28,nan,nan000000,nan000000,nan000000
29,Ⅰ.지배기업지분,23645836000000,22204919000000,18970176000000
30,1.자본금(주석 23),100000000000,100000000000,100000000000
31,2.자본잉여금(주석 23),6131000000,7126000000,6131000000
32,3.자본조정(주석 23),"(1,575,774)000000","(1,086,828)000000","(882,863)000000"
33,4.기타포괄손익누계액(주석 23),13548291000000,12488331000000,10236507000000
34,5.이익잉여금(주석 23),11567188000000,10696290000000,9510401000000
35,Ⅱ.비지배지분,75909000000,79820000000,60215000000
36,자 본 총 계,23721745000000,22284739000000,19030391000000
37,nan,nan000000,nan000000,nan000000
38,부 채 와 자 본 총 계,"230,362,896===================000000","214,433,714=================000000","192,939,383=================000000"
39,Ⅰ.영업수익,27705927000000,27426368000000,19304394000000
40,1.보험료수익(주석 24),17354147000000,17461627000000,12567384000000
41,2.재보험수익(주석 25),257780000000,233297000000,165969000000
42,3.이자수익(주석 26),5729876000000,5702049000000,4195147000000
43,4.당기손익인식금융자산관련이익(주석 27),333689000000,210150000000,129324000000
44,5.매도가능금융자산관련이익(주석 27),184815000000,685113000000,170927000000
45,6.대출채권및기타수취채권관련이익(주석 27),912000000,1113000000,41750000000
46,7.위험회피목적파생상품관련이익(주석 27),118894000000,247306000000,505573000000
47,8.외환거래이익,717194000000,487471000000,85675000000
48,9.수수료수익,158175000000,43020000000,30083000000
49,10.배당금수익,389569000000,284011000000,83153000000
50,11.임대료수익,444407000000,422481000000,310705000000
51,12.특별계정수입수수료,1305766000000,1091894000000,684995000000
