,과 목,주 석,제 14(당)기,제 13(전)기,주석
0,자 산,nan0,nan0,nan0,nan
1,I. 현금및예치금,"4, 35, 39, 40, 420",58558041623480,48396176326640,nan
2,II. 단기매매금융자산,"5, 39, 40, 420",171023575654570,145366834268230,nan
3,III. 파생금융상품자산,"17, 39, 40, 42, 430",2818164601280,3691815967130,nan
4,IV. 당기손익인식지정금융자산,"6, 39, 40, 420",5815556823630,6309086065940,nan
5,V. 매도가능금융자산,"7, 39, 40, 420",20826691393620,9618730023790,nan
6,VI. 관계기업투자,80,2208384861190,1508481024220,nan
7,VII. 대출채권,"9, 39, 40, 420",40660835240610,27051067257730,nan
8,VIII. 유형자산,100,3095908391310,3194094395270,nan
9,IX. 무형자산,110,879844568220,1014126421500,nan
10,X. 투자부동산,120,470322600880,463155780210,nan
11,XI. 당기법인세자산,240,3597297350,196223230880,nan
12,XII. 이연법인세자산,240,1680847240,3075726480,nan
13,XIII. 기타금융자산,"13, 38, 39, 40, 42, 430",8297693526640,5684349557730,nan
14,XIV. 기타비금융자산,"14, 380",550431697350,947006208810,nan
15,자 산 총 계,nan0,315210729127370,253444222254560,nan
16,부 채,nan0,nan0,nan0,nan
17,I. 예수부채,"15, 38, 39, 41, 420",47420396496520,32706516676830,nan
18,II. 단기매매금융부채,"16, 38, 39, 410",17308524039290,15451807004240,nan
19,III. 파생금융상품부채,"17, 38, 39, 41, 420",9338968586360,5269528348870,nan
20,IV. 당기손익인식지정금융부채,"18, 38, 39, 410",67287383858850,55327168714270,nan
21,V. 차입부채,"19, 38, 39, 41, 420",132372888158610,108402568268550,nan
22,VI. 확정급여부채,200,185907021290,135620329220,nan
23,VII. 충당부채,210,70484014280,61180876700,nan
24,VIII. 당기법인세부채,240,313891163530,1235804700,nan
25,IX. 이연법인세부채,240,509195342930,489467276560,nan
26,X. 기타금융부채,"22, 38, 39, 41, 420",8200699584900,6564820666570,nan
27,XI. 기타비금융부채,230,493895923580,431179864300,nan
28,부 채 총 계,nan0,283502234190140,224841093830810,nan
29,자 본,nan0,nan0,nan0,nan
30,I. 지배기업주주지분,nan0,31701769247550,28596938236910,nan
31,1. 자본금,250,3079212150000,3079212150000,nan
32,2. 자본잉여금,250,6034173566630,6034173566630,nan
33,3. 자본조정,250,"(50,142,077,042)0","(50,431,162,042)0",nan
34,4. 기타포괄손익누계액,"25, 330",2382493743110,2111307005260,nan
35,5. 이익잉여금,250,20707310558230,17876557135440,nan
36,II. 비지배지분,nan0,6725689680,6190186840,nan
37,자 본 총 계,nan0,31708494937230,28603128423750,nan
38,부 채 및 자 본 총 계,nan0,315210729127370,253444222254560,nan
39,I. 영업수익,nan0,46605010397260,36871221032960,nan
40,1. 수수료수익,"26, 440",6966749978990,5590095809140,nan
41,2. 이자수익,"27, 440",7133104517450,6789096688870,nan
42,3. 배당금수익,"28, 380",208704414120,142978955910,nan
43,4. 금융자산(부채)평가및처분이익,"29, 440",31460430642420,23646792460590,nan
44,5. 외환거래이익,nan0,726903609920,432696630970,nan
45,6. 기타영업수익,"30, 380",109117234360,269560487480,nan
46,II. 영업비용,nan0,"(4,275,971,930,069)0","(3,360,196,015,138)0",nan
47,1. 수수료비용,"26, 38, 440","(99,937,553,394)0","(76,049,444,419)0",nan
48,2. 이자비용,"27, 440","(267,683,175,108)0","(328,993,758,805)0",nan
49,3. 금융자산(부채)평가및처분손실,"29, 440","(3,201,996,682,147)0","(2,387,740,803,784)0",nan
50,4. 외환거래손실,nan0,"(78,787,624,695)0","(27,403,839,615)0",nan
51,5. 판매비와관리비,"31, 38, 440","(617,520,592,440)0","(536,453,422,800)0",nan
52,6. 기타영업비용,300,"(10,046,302,285)0","(3,554,745,715)0",nan
53,III. 영업이익,nan0,3845291096570,3269260881580,nan
54,IV. 영업외수익,"32, 380",501728663420,302927103890,nan
55,V. 영업외비용,320,"(17,496,031,443)0","(33,982,021,863)0",nan
56,VI. 법인세비용차감전순이익,nan0,4172059445560,3232367766840,nan
57,VII. 법인세비용,240,"(92,857,430,478)0","(84,001,832,262)0",nan
58,VIII. 당기순이익,nan0,3243485140780,2392349444220,nan
59,IX. 기타포괄손익,330,271247691340,"(27,678,761,218)0",nan
60,1. 후속적으로 당기손익으로 재분류 될 수 있는 포괄손익,nan0,300961158990,"(25,623,465,933)0",nan
61,(1) 매도가능금융상품평가손익,nan0,30040599530,"(51,113,901,249)0",nan
62,(2) 지분법자본변동,nan0,62945356090,65907734310,nan
63,(3) 외환차이,nan0,207975203370,188996618850,nan
64,2. 후속적으로 당기손익으로 재분류 될 수 없는 포괄손익,nan0,"(2,971,346,765)0","(2,055,295,285)0",nan
65,(1) 확정급여부채 재측정요소,nan0,"(2,971,346,765)0","(2,055,295,285)0",nan
66,X. 총포괄이익,nan0,3514732832120,2115561832040,nan
67,1. 당기순이익의 귀속,nan0,3243485140780,2392349444220,nan
68,(1) 지배기업주주지분순이익,nan0,3243010591430,2392147939200,nan
69,(2) 비지배지분순손익,nan0,474549350,201505020,nan
70,2. 총포괄이익의 귀속,nan0,3514732832120,2115561832040,nan
71,(1) 지배기업주주지분총포괄이익,nan0,3514197329280,2115202144100,nan
