,과 목,주석,제 49(당) 기,제 48(전) 기
62,기타자본,1822000000,211138000000,192024000000
63,결손금,nan000000,"(3,000,232)000000","(2,014,250)000000"
64,지배기업 소유주지분 합계,nan000000,"(2,685,571)000000","(1,718,715)000000"
65,Ⅱ. 비지배지분,1000000,"(31,306)000000",62482000000
66,자 본 총 계,nan000000,"(2,716,877)000000","(1,656,233)000000"
67,자 본 및 부 채 총 계,nan000000,4504935000000,5045791000000
68,Ⅰ. 계속영업,Ⅰ. 계속영업000000,Ⅰ. 계속영업000000,Ⅰ. 계속영업000000
69,매출액,4293032000000,3413783000000,2998602000000
70,매출원가,2329000000,"(3,539,625)000000","(3,216,190)000000"
71,매출총손실,nan000000,"(125,842)000000","(217,588)000000"
72,판매비와관리비,2324000000,"(84,929)000000","(96,140)000000"
73,영업손실,24000000,"(210,771)000000","(313,728)000000"
74,기타수익,25000000,35543000000,56817000000
75,기타비용,25000000,"(200,651)000000","(218,383)000000"
76,금융수익,26000000,383351000000,2681729000000
77,금융비용,26000000,"(855,069)000000","(694,861)000000"
78,지분법손실,411000000,(263)000000,(12)000000
79,법인세비용차감전계속영업이익(손실),nan000000,"(847,860)000000",1511562000000
80,법인세비용,27000000,"(47,780)000000","(24,463)000000"
81,계속영업당기순이익(손실),nan000000,"(895,640)000000",1487099000000
82,Ⅱ. 중단영업,Ⅱ. 중단영업000000,Ⅱ. 중단영업000000,Ⅱ. 중단영업000000
83,중단영업손실,5000000,"(162,947)000000","(770,725)000000"
84,Ⅲ. 당기순이익(손실)(Ⅰ+Ⅱ),nan000000,"(1,058,587)000000",716374000000
85,Ⅳ. 기타포괄손익,Ⅳ. 기타포괄손익000000,Ⅳ. 기타포괄손익000000,Ⅳ. 기타포괄손익000000
86,후속적으로 당기손익으로 재분류되지 않는 항목:,nan000000,nan000000,nan000000
87,확정급여채무의 재측정요소,21000000,"(2,100)000000","(1,433)000000"
88,후속적으로 당기손익으로 재분류되는 항목:,nan000000,nan000000,nan000000
89,매도가능금융자산평가손익,7000000,873000000,(44)000000
90,지분법자본변동,11000000,(10)000000,8000000
91,해외사업장환산손익,nan000000,48474000000,67280000000
92,법인세비용차감후기타포괄손익 합계,nan000000,47237000000,65811000000
93,Ⅴ. 총포괄이익(손실)(Ⅲ+Ⅳ),nan000000,"(1,011,350)000000",782185000000
94,Ⅵ. 당기순이익(손실)의 귀속,Ⅵ. 당기순이익(손실)의 귀속000000,Ⅵ. 당기순이익(손실)의 귀속000000,Ⅵ. 당기순이익(손실)의 귀속000000
95,지배기업 소유주지분,nan000000,nan000000,nan000000
96,계속영업이익(손실),nan000000,"(853,007)000000",1529820000000
97,중단영업손실,nan000000,"(130,916)000000","(665,322)000000"
98,지배기업 소유주에게 귀속될 당기순이익(손실),nan000000,"(983,923)000000",864498000000
99,비지배지분,nan000000,nan000000,nan000000
100,계속영업손실,nan000000,"(42,633)000000","(42,721)000000"
101,중단영업손실,nan000000,"(32,031)000000","(105,403)000000"
102,비지배지분에 귀속될 당기순손실,nan000000,"(74,664)000000","(148,124)000000"
103,Ⅶ. 총포괄이익(손실)의 귀속,Ⅶ. 총포괄이익(손실)의 귀속000000,Ⅶ. 총포괄이익(손실)의 귀속000000,Ⅶ. 총포괄이익(손실)의 귀속000000
104,지배기업 소유주지분,nan000000,"(966,869)000000",886978000000
105,비지배지분,nan000000,"(44,481)000000","(104,793)000000"
106,Ⅷ. 주당손익 (단위: 원),Ⅷ. 주당손익 (단위: 원)000000,Ⅷ. 주당손익 (단위: 원)000000,Ⅷ. 주당손익 (단위: 원)000000
107,기본주당이익(손실),28000000,"(1,271)000000",1334000000
108,희석주당이익(손실),28000000,"(1,271)000000",1334000000
