,Unnamed: 0,제 51 기,제 50 기,제 49 기
0,자산,nan0,nan0,nan0
1,유동자산,2937322714180,2177733215470,2926823780920
2,현금및현금성자산,689196520120,176813640460,140304701460
3,매출채권및기타채권,964839859030,1139698022380,973909701250
4,재고자산,480571275370,502027566650,509712148810
5,매도가능금융자산,1887300000,248300000,478250000
6,기타금융자산,753568414260,287079242070,1220690544180
7,기타유동자산,47021872680,70474804100,81728435220
8,당기법인세자산,237472720,1391639810,nan0
9,비유동자산,2326062914850,3187891792060,2454915203120
10,매출채권및기타채권,6377800020,19133400000,nan0
11,매도가능금융자산,179079298200,264311995400,247751420600
12,유형자산,1910774784560,2354982974150,1979762326770
13,무형자산,26206923350,40306123900,27176471330
14,투자부동산,29374060970,29732488660,30039570340
15,기타금융자산,115383584590,479112747070,169539443840
16,기타비유동자산,7471740420,127814980,517054790
17,확정급여자산,32972547470,nan0,nan0
18,이연법인세자산,18422175270,184247900,128915450
19,자산총계,5263385629030,5365625007530,5381738984040
20,부채,nan0,nan0,nan0
21,유동부채,711589028850,868191845350,1175256176550
22,매입채무및기타채무,508896588840,709696312270,971247965290
23,단기차입금,105390881120,146926623500,130454835220
24,유동성장기차입금,nan0,400000000,nan0
25,기타유동비금융부채,19818177200,9396711650,11223974700
26,당기법인세부채,77483381690,1772197930,62329401340
27,비유동부채,9239965280,120468098580,79377922180
28,장기차입금,nan0,1200000000,nan0
29,확정급여부채,4874969160,75438520830,22029793700
30,기타금융부채,4282850640,8113597040,27898446810
31,이연법인세부채,82145480,35715980710,29449681670
32,부채총계,720828994130,988659943930,1254634098730
33,자본,nan0,nan0,nan0
34,자본금,113678065000,113678065000,113678065000
35,자본잉여금,483524834160,483524834160,427864569410
36,기타자본,"(2,131,616,543)0","(2,131,616,543)0","(9,788,567,200)0"
37,기타포괄손익누계액,"(684,933,441)0",10024465350,"(478,473,395)0"
38,기타적립금,3650740554450,2851590765810,2857440554450
39,이익잉여금,322778681130,939463098710,830792102400
40,지배기업의 소유주에게 귀속되는 자본,4542556634900,4376965063600,4127104885310
41,자본총계,4542556634900,4376965063600,4127104885310
42,부채와자본총계,5263385629030,5365625007530,5381738984040
43,I.매출액,5231142227790,5898257500130,6164299887510
44,II.매출원가,"(491,248,783,820)0","(547,586,374,213)0","(530,279,236,249)0"
45,III.매출총이익,318654389590,422393758000,861507525020
46,IV.판매비와관리비,"(24,260,514,428)0","(24,342,532,886)0","(23,872,233,172)0"
47,V.영업이익(손실),76049245310,178968429140,622785193300
48,VI.영업외손익,180444606980,89832557840,47076091330
49,기타수익,130684086110,115024515990,61336989830
50,기타비용,"(9,908,966,372)0","(7,192,320,882)0","(7,480,913,790)0"
51,금융수익,30607974850,39477645640,60000055750
52,금융비용,"(291,846,569)0","(390,048,297)0","(507,801,915)0"
53,투자손익,121160675430,11154088000,5626202800
54,VII.법인세비용차감전이익(손실),256493852290,268800986980,669861284630
55,법인세수익(비용),"(4,683,864,554)0","(5,583,527,345)0","(15,173,104,963)0"
56,VIII.당기순이익(손실),209655206750,212965713530,518130235000
57,IX.기타포괄손익,nan0,nan0,nan0
58,당기손익으로 재분류되는 세후기타포괄손익,nan0,nan0,nan0
