,Unnamed: 0,제 14 기,제 13 기,제 12 기
0,자산,nan0,nan0,nan0
1,유동자산,2545586563020,2618209752940,2328565986740
2,현금및현금성자산,241300415450,503356671790,243503238110
3,매출채권,1018166983050,1031306744610,1033035667740
4,기타채권,31392371790,31056167840,25832256020
5,기타금융자산,19200515010,3424229110,9923079770
6,파생금융자산,nan0,224520000,nan0
7,기타유동자산,38569928160,18646557520,16473092300
8,당기법인세자산,189350810,1115684680,1352321560
9,재고자산,1196766998750,1029079177390,998446331240
10,비유동자산,4524216705050,3913168885380,3791297738570
11,비유동당기손익인식금융자산,238577330,191592820,286649450
12,기타채권,10248764490,24859852810,14592977880
13,비유동매도가능금융자산,8635056380,12642986380,12642986380
14,기타금융자산,56586608600,54269822060,52117676920
15,기타비유동자산,573736070,593034590,412131220
16,이연법인세자산,296940901740,296499798380,321897719320
17,유형자산,3539444206650,3045018528600,3039579094090
18,무형 자산,611548853790,479093269740,349768503310
19,자산총계,7069803268070,6531378638320,6119863725310
20,부채,nan0,nan0,nan0
21,유동부채,1611578625360,974678930070,1663087143940
22,매입채무,320969447380,282309485090,374906814150
23,기타채무,416221609630,222066041630,287050227380
24,차입금,601832517850,286911449540,816702861860
25,기타금융부채,224753328590,119782976630,114249690020
26,충당부채,10994246900,11789914370,11158933250
27,기타유동부채,34365948460,51525621970,57965732650
28,당기법인세부채,2441526550,293440840,1052884630
29,비유동부채,2882001446910,3062116593390,1920090332630
30,차입금,2595382065050,2793113288900,1657197608210
31,기타금융부채,39169974560,53253597450,57606390940
32,퇴직급여부채,212760997720,203074697380,193532700490
33,충당부채,15573717420,12675009660,11753632990
34,파생상품부채,19114692160,nan0,nan0
35,부채총계,4493580072270,4036795523460,3583177476570
36,자본,nan0,nan0,nan0
37,납입자본,840660300000,840660300000,840660300000
38,자본금,840660300000,840660300000,840660300000
39,자본잉여금,1470455451740,1470455451740,1470455451740
40,이익잉여금(결손금),289759884740,192176334950,236920430510
41,기타자본구성요소,"(2,646,452,059)0","(1,214,300,460)0","(1,358,231,067)0"
42,기타포괄손익누계액,"(284,800)0","(284,800)0","(284,800)0"
43,기타자본,"(2,646,167,259)0","(1,214,015,660)0","(1,357,946,267)0"
44,지배기업의 소유주에게 귀속되는 자본,2574411115890,2491149082090,2534453871580
45,비지배지분,1812079910,3434032770,2232377160
46,자본총계,2576223195800,2494583114860,2536686248740
47,자본과부채총계,7069803268070,6531378638320,6119863725310
48,매출액,4505263550340,4255981074020,4173445979560
49,매출원가,2317175415030,2250030731420,2169744782130
50,매출총이익,2188088135310,2005950342600,2003701197430
51,판매비와관리비,1936068740820,1843994534810,1859752294200
52,영업이익(손실),252019394490,161955807790,143948903230
53,금융수익,10637283100,19976549440,23032197160
54,금융원가,122031713700,124433791860,103559241360
55,기타수익,53941274470,62234062850,58391496910
56,기타비용,55623842950,98271775070,71296910550
57,법인세비용차감전순이익(손실),138942395410,21460853150,50516445390
58,법인세비용,25226911740,41389671120,17638936370
59,당기순이익(손실),113715483670,"(1,992,881,797)0",32877509020
60,기타포괄손익,"(3,207,540,273)0","(2,217,431,591)0","(2,497,113,403)0"
61,당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0
62,확정급여제도의 재측정 요소,"(1,768,203,605)0","(2,373,748,406)0","(2,037,100,426)0"
63,당기손익으로 재분류되는 세후기타포괄손익,nan0,nan0,nan0
64,해외사업장 외화환산차이,516093210,1563168150,"(460,012,977)0"
65,파생상품 평가손익,"(1,490,945,989)0",nan0,nan0
66,총포괄손익,81640080940,"(4,210,313,388)0",7906374990
67,당기순이익(손실)의 귀속,nan0,nan0,nan0
68,지배기업 소유주지분,115265585840,"(2,100,661,150)0",32611261710
69,비지배지분,"(155,010,217)0",1077793530,266247310
70,포괄손익의 귀속,nan0,nan0,nan0
71,지배기업 소유주지분,83262033800,"(4,330,478,949)0",7845237830
72,비지배지분,"(162,195,286)0",1201655610,61137160
73,주당이익,nan0,nan0,nan0
74,기본주당이익(손실),6860,(125)0,1940
75,희석주당이익(손실),6860,(125)0,1940
76,영업활동현금흐름,536297748460,184882342890,150666780640
77,1. 영업으로부터 창출된 현금흐름,647034162750,305880380670,251199723490
78,2. 이자의 수취,9776748820,7910516450,8232531700
79,3. 이자의 지급,"(10,715,309,910)0","(11,488,949,011)0","(9,341,098,267)0"
80,4. 법인세 납부(환급),"(1,336,006,401)0","(1,401,906,412)0","(1,535,449,188)0"
81,투자활동현금흐름,"(91,141,398,523)0","(52,570,643,210)0","(78,970,598,105)0"
82,1. 투자활동으로 인한 현금 유입액,5812405790,3487176470,23763668400
83,(1) 기타비유동금융자산의 감소,5140117500,1706885180,7053839250
84,(2) 유형자산의 처분,503950070,1750291290,14538589150
85,(3) 무형자산의 처분,93472220,30000000,nan0
86,(4) 매도가능금융자산의 처분,74866000,nan0,nan0
87,(5) 종속기업의 취득,nan0,nan0,2171240000
88,2. 투자활동으로 인한 현금 유출액,"(91,722,639,102)0","(52,919,360,857)0","(81,346,964,945)0"
89,(1) 기타비유동금융자산의 증가,"(874,108,142)0","(312,420,360)0","(1,006,264,488)0"
90,(2) 유형자산의 취득,"(72,618,541,687)0","(32,113,701,055)0","(71,586,953,464)0"
91,(3) 무형자산의 취득,"(17,829,989,273)0","(20,493,239,442)0","(8,753,746,993)0"
92,(4) 매도가능금융자산의 취득,"(400,000,000)0",nan0,nan0
93,재무활동현금흐름,113464992720,599728852370,472337179560
94,1. 재무활동으로 인한 현금 유입액,339686500000,1659728852370,832962363560
95,(1) 차입금의 증가,339686500000,165257852370,533418363560
96,(2) 사채의 발행,nan0,1494471000000,299544000000
97,2. 재무활동으로 인한 현금 유출액,"(22,622,150,728)0","(106,000,000,000)0","(36,062,518,400)0"
98,(1) 차입금의 상환,"(22,622,150,728)0","(56,000,000,000)0","(36,062,500,000)0"
99,(2) 사채의 상환,nan0,"(50,000,000,000)0",nan0
100,(3) 자기주식의 취득,nan0,nan0,"(18,400)0"
101,환율변동효과반영전 현금및현금성자산의순증가(감소),"(26,165,124,405)0",258904763160,"(16,670,202,085)0"
102,기초현금및현금성자산,503356671790,243503238110,414931481060
