,Unnamed: 0,제 27 기,제 26 기,제 25 기
0,자산,nan0,nan0,nan0
1,유동자산,4269126784420,4495627641170,5947604110450
2,현금및현금성자산,1400422723490,47410928490,131291775730
3,단기금융자산,38275122990,34211790520,41273639720
4,매출채권 및 기타채권,1162927927780,2009951842240,2311349211580
5,유동성매도가능금융자산,5043431340,255101014430,6554886970
6,미청구공사,592501545170,1712699894810,2692198195430
7,재고자산,89352658380,205703997100,280144804810
8,당기법인세자산,6814956380,8319394660,3404501540
9,매각예정자산,858202882200,nan0,nan0
10,기타유동자산,115585536690,222228778920,481387094670
11,비유동자산,1781310571100,2968188182980,3065486500230
12,장기금융자산,16200774090,4630000000,2230000000
13,장기매출채권 및 기타채권,508241305120,269090497200,162215352140
14,장기성매도가능금융자산,70189814620,49018910180,38973062710
15,관계기업및공동지배기업투자,nan0,458841870,480326530
16,유형자산,1110153230660,2483945345070,2423639606160
17,투자부동산,2068794970,2209276990,2349759010
18,무형자산,73885204140,127244732930,149540401950
19,이연법인세자산,nan0,30541654050,283791442020
20,기타비유동자산,571447500,1048924690,2266549710
21,자산총계,6050437355520,7463815824150,9013090610680
22,부채,nan0,nan0,nan0
23,유동부채,2803275886940,3733339421160,5588932045240
24,매입채무 및 기타채무,581141747480,1098686900900,1192690327750
25,단기차입금,9270000000,1558583440000,3603014132520
26,유동성장기부채,517810372730,00,00
27,유동성사채,859137700420,519444348440,00
28,충당부채,34291497070,40760662370,71272323960
29,초과청구공사,699632247530,346130116610,650382456830
30,기타금융부채,nan0,110539575860,1758723530
31,당기법인세부채,nan0,33146340,00
32,기타유동부채,101992321710,59161230640,69814080650
33,비유동부채,4566177302490,1571033267530,2069308503180
34,장기매입채무 및 기타채무,416246770,1917101880,3012911930
35,장기차입금,3174217140510,870000000000,870000000000
36,사채,562831141160,478907228520,996973571490
37,장기성기타금융보증부채,651712683110,5157958040,6367879990
38,순확정급여채무,125060068450,178315852320,192655335770
39,장기성충당부채,48647761820,36735126770,298804000
40,기타비유동부채,3292260670,nan0,nan0
41,부채총계,7369453189430,5304372688690,7658240548420
42,자본,nan0,nan0,nan0
43,지배기업의 소유주에게 귀속되는 자본,"(131,420,127,725)0",2157401064460,1351676229780
44,자본금,917074730000,917074730000,324092980000
45,기타불입자본,7134211424950,7134211424950,4123707119470
46,기타자본구성요소,"(753,789,765)0","(660,258,081)0","(476,580,633)0"
47,이익잉여금(결손금),"(935,794,953,455)0","(588,728,250,968)0","(309,135,806,336)0"
48,비지배지분,"(481,455,666)0",2042071000,3173832480
49,자본총계,"(131,901,583,391)0",2159443135460,1354850062260
50,자본과부채총계,6050437355520,7463815824150,9013090610680
51,매출액,4576931887680,6234444709370,6034159021940
52,매출원가,5006235590620,7099576743160,6275414304830
53,매출총이익,"(42,930,370,294)0","(86,513,203,379)0","(24,125,528,289)0"
54,판매비,70927745270,66980946050,89498879080
55,관리비,748891145050,940410067180,282079499980
56,경상연구개발비,23789897780,18176268080,17481133770
57,영업이익(손실),"(127,291,249,104)0","(189,069,931,510)0","(63,031,479,572)0"
58,금융수익,33382423980,30133757500,31191187530
59,금융비용,890526852140,343151013080,222068638650
60,종속기업및관계기업투자처분손실,718716880,00,7725825930
61,기타영업외수익,42597448070,30044939540,48190024250
62,기타영업외비용,1291049323800,294401744090,99370708700
63,환율변동손익,"(5,261,634,996)0","(7,331,518,454)0",22243137990
64,관계기업및공동지배기업투자손익,nan0,00,"(149,973,363)0"
65,법인세비용차감전순이익(손실),"(343,184,386,177)0","(254,138,855,977)0","(85,935,535,286)0"
66,법인세비용,"(4,172,845,803)0",255430571810,135404225810
67,당기순이익(손실),"(347,357,231,980)0","(279,681,913,158)0","(99,475,957,867)0"
68,당기순이익(손실)의 귀속,nan0,nan0,nan0
69,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(346,352,245,729)0","(279,563,640,340)0","(98,808,754,268)0"
70,비지배지분에 귀속되는 당기순이익(손실),"(1,004,986,251)0","(118,272,818)0","(667,203,599)0"
71,기타포괄손익,"(810,952,366)0","(210,156,540)0",47643783870
72,후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0
73,"법인세비용차감후기타포괄손익, 확정급여제도의 재측정손익","(714,456,758)0","(28,804,292)0",47768038710
74,후속적으로 당기손익으로 재분류될 수 있는 항목,nan0,nan0,nan0
75,매도가능금융자산평가손익,"(4,569,481)0","(21,038,993)0","(42,079,174)0"
