,과 목,제49기 연간,제48기,제47기,과목,제 75 기 2015년 8월 31일,제 74 기2014년 12월 31일,제 73 기2013년 12월 31일,Unnamed: 0,제 75 기 2015년1월1일~2015년8월31일까지,제 74 기2014년1월1일~2014년12월31일까지,제 73 기2013년1월1일~2013년12월31일까지
102,nan,433034000000,376393000000,444123000000,nan,nan,nan,nan,XVII. 연결당기순이익,nan,nan,nan
103,nan,421001000000,365115000000,444320000000,nan,nan,nan,nan,1. 지배기업의 소유주,nan,nan,nan
104,nan,nan000000,nan000000,nan000000,nan,nan,nan,nan,(대손준비금 반영후 조정이익:,nan,nan,nan
105,nan,nan000000,nan000000,nan000000,nan,nan,nan,nan,"당기 424,326 백만원",nan,nan,nan
106,nan,nan000000,nan000000,nan000000,nan,nan,nan,nan,"전기 480,873 백만원)",nan,nan,nan
107,nan,12033000000,11278000000,(197)000000,nan,nan,nan,nan,2. 비지배지분,nan,nan,nan
108,nan,"(221,729)000000","(38,266)000000","(28,681)000000",nan,nan,nan,nan,XVIII. 기타포괄손익,nan,nan,nan
109,nan,"(183,676)000000","(2,998)000000","(1,990)000000",nan,nan,nan,nan,후속적으로 당기손익으로 재분류되는 항목,nan,nan,nan
110,nan,"(187,371)000000",20599000000,95325000000,nan,nan,nan,nan,1. 매도가능금융자산평가손익,nan,nan,nan
111,nan,"(50,400)000000","(18,644)000000","(74,206)000000",nan,nan,nan,nan,2. 해외사업장환산손익,nan,nan,nan
112,nan,26744000000,-000000,-000000,nan,nan,nan,nan,3. 관계기업투자주식자본변동,nan,nan,nan
113,nan,"(15,199)000000",-000000,-000000,nan,nan,nan,nan,4. 해외사업장순투자위험회피평가손익,nan,nan,nan
114,nan,42550000000,"(4,953)000000","(23,109)000000",nan,nan,nan,nan,5. 법인세효과,nan,nan,nan
115,nan,"(38,053)000000","(35,268)000000","(26,691)000000",nan,nan,nan,nan,후속적으로 당기손익으로 재분류되지 않는 항목,nan,nan,nan
116,nan,"(50,202)000000","(46,520)000000","(35,407)000000",nan,nan,nan,nan,1. 확정급여제도의 재측정요소,nan,nan,nan
117,nan,12149000000,11252000000,8716000000,nan,nan,nan,nan,2. 법인세효과,nan,nan,nan
118,nan,211305000000,338127000000,415442000000,nan,nan,nan,nan,XIX. 연결당기총포괄이익,nan,nan,nan
119,nan,206356000000,328091000000,416014000000,nan,nan,nan,nan,1. 지배기업의 소유주,nan,nan,nan
120,nan,4949000000,10036000000,(572)000000,nan,nan,nan,nan,2. 비지배지분,nan,nan,nan
121,nan,nan000000,nan000000,nan000000,nan,nan,nan,nan,XX. 주당이익(단위: 원),nan,nan,nan
122,nan,nan000000,nan000000,nan000000,nan,nan,nan,nan,1. 계속영업주당이익,nan,nan,nan
123,nan,585000000,541000000,660000000,nan,nan,nan,nan,(1) 기본주당이익,nan,nan,nan
124,nan,585000000,541000000,660000000,nan,nan,nan,nan,(2) 희석주당이익,nan,nan,nan
125,nan,nan000000,nan000000,nan000000,nan,nan,nan,nan,2. 중단영업주당이익,nan,nan,nan
126,nan,nan000000,41000000,122000000,nan,nan,nan,nan,(1) 기본주당이익,nan,nan,nan
127,nan,nan000000,41000000,122000000,nan,nan,nan,nan,(2) 희석주당이익,nan,nan,nan
128,nan,nan000000,nan000000,nan000000,I. 순이자수익,nan,nan,nan,nan,1726795.0,2626131.0,2617902.0
129,nan,nan000000,nan000000,nan000000,1. 이자수익,nan,nan,nan,nan,3572054.0,5843083.0,6146254.0
130,nan,nan000000,nan000000,nan000000,2. 이자비용,nan,nan,nan,nan,-1845259.0,-3216952.0,-3528352.0
131,nan,nan000000,nan000000,nan000000,II. 순수수료수익,nan,nan,nan,nan,229481.0,338148.0,352720.0
132,nan,nan000000,nan000000,nan000000,1. 수수료수익,nan,nan,nan,nan,312881.0,438500.0,453435.0
133,nan,nan000000,nan000000,nan000000,2. 수수료비용,nan,nan,nan,nan,-83400.0,-100352.0,-100715.0
134,nan,nan000000,nan000000,nan000000,III. 당기손익인식금융상품 관련 손익,nan,nan,nan,nan,123567.0,125117.0,145013.0
135,nan,nan000000,nan000000,nan000000,IV. 위험회피회계파생상품 관련 손익,nan,nan,nan,nan,-1945.0,2661.0,-40700.0
136,nan,nan000000,nan000000,nan000000,V. 금융상품 관련 기타손익,nan,nan,nan,nan,401255.0,361447.0,187818.0
137,nan,nan000000,nan000000,nan000000,VI. 외환거래손익,nan,nan,nan,nan,-93101.0,-26073.0,-24374.0
138,nan,nan000000,nan000000,nan000000,VII. 총영업이익,nan,nan,nan,nan,2386052.0,3427431.0,3238379.0
139,nan,nan000000,nan000000,nan000000,VIII. 금융자산 관련 손상차손,nan,nan,nan,nan,-318613.0,-604412.0,-567234.0
140,nan,nan000000,nan000000,nan000000,IX. 순영업이익,nan,nan,nan,nan,2067439.0,2823019.0,2671145.0
141,nan,nan000000,nan000000,nan000000,X. 일반관리비,nan,nan,nan,nan,-1121715.0,-1627592.0,-1544399.0
142,nan,nan000000,nan000000,nan000000,XI. 기타영업수익,nan,nan,nan,nan,88700.0,100572.0,52579.0
143,nan,nan000000,nan000000,nan000000,XII. 기타영업비용,nan,nan,nan,nan,-277184.0,-382856.0,-378538.0
144,nan,nan000000,nan000000,nan000000,XIII. 영업이익,nan,nan,nan,nan,757240.0,913143.0,800787.0
145,nan,nan000000,nan000000,nan000000,XIV. 영업외손익,nan,nan,nan,nan,60542.0,179865.0,74128.0
146,nan,nan000000,nan000000,nan000000,1. 지분법손익,nan,nan,nan,nan,64919.0,92286.0,76068.0
147,nan,nan000000,nan000000,nan000000,2. 기타영업외수익,nan,nan,nan,nan,26649.0,162218.0,51004.0
