,과 목,제 8 기말,제 7 기말,제 6 기말,제8기(2018.1.1-2018.12.31),제7기(2017.1.1-2017.12.31),제6기(2016.1.1-2016.12.31),제 8 기,제 7 기,제 6 기
103,예치금,nan0,nan0,nan0,nan,nan,nan,60261901763,426468002219,"(608,065,329,329)"
104,당기손익-공정가치금융자산,nan0,nan0,nan0,nan,nan,nan,"(1,004,131,949,433)",283214770398,"(653,695,434,701)"
105,대출채권및수취채권,nan0,nan0,nan0,nan,nan,nan,"(3,115,982,624,818)","(1,950,860,199,907)","(2,417,411,748,247)"
106,파생금융상품,nan0,nan0,nan0,nan,nan,nan,"(1,207,395,593)",27987056827,10747545621
107,기타자산,nan0,nan0,nan0,nan,nan,nan,"(420,324,797,010)","(170,163,991,944)","(14,550,612,931)"
108,예수부채,nan0,nan0,nan0,nan,nan,nan,3550906195848,2298832122056,3232671961957
109,충당부채,nan0,nan0,nan0,nan,nan,nan,"(538,541,410)","(314,856,205)","(698,589,946)"
110,기타부채,nan0,nan0,nan0,nan,nan,nan,"(190,951,112,875)","(637,353,846,802)","(1,627,928,025,117)"
111,확정급여채무,nan0,nan0,nan0,nan,nan,nan,"(23,211,734,571)","(27,521,700,975)","(24,405,821,118)"
112,사외적립자산,nan0,nan0,nan0,nan,nan,nan,"(34,761,039,016)","(26,370,245,779)","(45,283,178,909)"
113,4. 이자수익의 수취,nan0,nan0,nan0,nan,nan,nan,3657797441656,3393994900410,3249847466121
114,5. 배당금의 수취,nan0,nan0,nan0,nan,nan,nan,7704407579,33443713535,42717120128
115,6. 이자비용의 지급,nan0,nan0,nan0,nan,nan,nan,"(1,206,922,509,363)","(998,334,619,528)","(1,172,027,620,962)"
116,7. 법인세의 납부,nan0,nan0,nan0,nan,nan,nan,"(124,727,238,436)","(183,908,836,309)","(150,272,200,631)"
117,Ⅱ.투자활동으로 인한 현금흐름,nan0,nan0,nan0,nan,nan,nan,"(853,811,627,398)","(427,306,520,699)","(371,881,886,098)"
118,1. 당기손익-공정가치금융자산 처분,nan0,nan0,nan0,nan,nan,nan,1682482194974,-,-
119,2. 당기손익-공정가치금융자산 취득,nan0,nan0,nan0,nan,nan,nan,"(1,831,784,406,371)",-,-
120,3. 기타포괄손익-공정가치금융자산 처분,nan0,nan0,nan0,nan,nan,nan,2319178470985,-,-
121,4. 기타포괄손익-공정가치금융자산 취득,nan0,nan0,nan0,nan,nan,nan,"(2,384,139,418,548)",-,-
122,5. 매도가능금융자산 처분,nan0,nan0,nan0,nan,nan,nan,-,3439326964324,5079414744384
123,6. 매도가능금융자산 취득,nan0,nan0,nan0,nan,nan,nan,-,"(3,171,588,176,777)","(5,978,920,384,209)"
124,7. 상각후원가금융자산 처분,nan0,nan0,nan0,nan,nan,nan,1528609180700,-,-
125,8. 상각후원가금융자산 취득,nan0,nan0,nan0,nan,nan,nan,"(1,641,046,672,687)",-,-
126,9. 만기보유금융자산 처분,nan0,nan0,nan0,nan,nan,nan,-,1163333794401,1919324866137
127,10. 만기보유금융자산 취득,nan0,nan0,nan0,nan,nan,nan,-,"(1,638,449,308,248)","(1,272,785,562,669)"
128,11. 관계기업투자주식 처분,nan0,nan0,nan0,nan,nan,nan,141511490662,75455818410,30838187140
129,12. 관계기업투자주식 취득,nan0,nan0,nan0,nan,nan,nan,"(532,500,000,000)","(90,403,150,000)","(27,305,000,000)"
130,13. 유형자산 처분,nan0,nan0,nan0,nan,nan,nan,8225313170,4189094309,614749921
131,14. 유형자산 취득,nan0,nan0,nan0,nan,nan,nan,"(125,329,640,300)","(151,337,245,365)","(104,104,028,527)"
132,15. 무형자산 처분,nan0,nan0,nan0,nan,nan,nan,3018336883,456669440,550671014
133,16. 무형자산 취득,nan0,nan0,nan0,nan,nan,nan,"(30,504,020,942)","(57,780,538,681)","(20,899,259,226)"
134,17. 기타,nan0,nan0,nan0,nan,nan,nan,8467544076,"(510,442,512)",1389129937
135,Ⅲ.재무활동으로 인한 현금흐름,nan0,nan0,nan0,nan,nan,nan,636379667133,"(931,953,074,152)",1197840457604
136,1. 차입부채의 증가,nan0,nan0,nan0,nan,nan,nan,37018128495998,42030954427043,55619180854423
137,2. 차입부채의 감소,nan0,nan0,nan0,nan,nan,nan,"(36,420,487,668,853)","(43,232,016,177,532)","(55,429,728,600,031)"
138,3. 사채의 발행,nan0,nan0,nan0,nan,nan,nan,2687661279529,2982579104600,2576148728773
139,4. 사채의 상환,nan0,nan0,nan0,nan,nan,nan,"(2,917,368,000,000)","(2,895,620,000,000)","(1,968,000,000,000)"
140,5. 유상증자,nan0,nan0,nan0,nan,nan,nan,-,-,466992983090
141,6. 신종자본증권 발행,nan0,nan0,nan0,nan,nan,nan,448579320000,298904960000,-
142,7. 배당금의 지급,nan0,nan0,nan0,nan,nan,nan,"(131,058,352,258)","(108,388,473,263)","(66,753,508,651)"
143,8. 기타,nan0,nan0,nan0,nan,nan,nan,"(49,075,407,283)","(8,366,915,000)",-
144,Ⅳ.현금및현금성자산의 증감(I+II+III),nan0,nan0,nan0,nan,nan,nan,137004147070,170990876171,"(299,847,302,825)"
145,Ⅴ.기초의 현금및현금성자산,nan0,nan0,nan0,nan,nan,nan,1014578271874,858611917771,1143886531732
146,Ⅵ.외화표시 현금및현금성자산의 환율변동효과,nan0,nan0,nan0,nan,nan,nan,"(5,951,891,176)","(15,024,522,068)",14572688864
147,Ⅶ.기말의 현금및현금성자산,nan0,nan0,nan0,nan,nan,nan,1145630527768,1014578271874,858611917771
