,과 목,주 석,제 52(당) 기말,제 51(전) 기말,제 52(당) 기,제 51(전) 기
42,기타포괄손익누계액,23.00,"(94,333,757,864)0","(23,631,580,487)0",nan,nan
43,이익잉여금,24.00,60293880421550,4759972624820,nan,nan
44,비지배지분,nan0,13204743594590,13750683376730,nan,nan
45,자 본 총 계,nan0,84334676153100,74898332987470,nan,nan
46,부 채 및 자 본 총 계,nan0,276183474955620,218970580611510,nan,nan
47,매출,263437.00,nan0,nan0,7271172031915,1868987537603
48,매출원가,7262837.00,nan0,nan0,5295423122234,1374023198972
49,매출총이익,nan0,nan0,nan0,1975748909681,494964338631
50,판매비와관리비,272837.00,nan0,nan0,1877330932112,501727872383
51,대손상각비,nan0,nan0,nan0,3014111869,979425622
52,영업손익,34.00,nan0,nan0,98417977569,"(6,763,533,753)"
53,금융수익,29.00,nan0,nan0,56485487256,71355346788
54,유효이자율법이자수익,nan0,nan0,nan0,33557247577,8019822227
55,상각후원가측정금융자산처분이익,nan0,nan0,nan0,56148970,56049097620
56,금융비용,2937.00,nan0,nan0,125502345398,29892910236
57,상각후원가측정금융자산처분손실,nan0,nan0,nan0,36597907,58697595
58,손상차손,nan0,nan0,nan0,88452728,8744068244
59,기타수익,3037.00,nan0,nan0,332442356537,314240310528
60,기타비용,3037.00,nan0,nan0,1448779966879,2740268919134
61,매출채권처분손실,nan0,nan0,nan0,82154,10731200
62,기타의대손상각비,nan0,nan0,nan0,4657570985,311555714
63,관계기업투자 손익에 대한 지분,10.00,nan0,nan0,1425494337922,2908707953309
64,법인세비용차감전순이익,nan0,nan0,nan0,338557847007,517378247502
65,법인세비용(수익),31.00,nan0,nan0,"(97,273,030,341)",34500845365
66,계속영업당기순이익,nan0,nan0,nan0,435830877348,482877402137
67,중단영업당기순이익(손실),41.00,nan0,nan0,"(325,121,506,538)",12403418292
68,당기순이익,34.00,nan0,nan0,110709370810,495280820429
69,기타포괄손익,nan0,nan0,nan0,"(80,683,859,020)","(160,391,359,708)"
70,후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0,"(16,841,469,894)",11294030921
71,확정급여제도의 재측정요소,19.00,nan0,nan0,"(10,724,676,490)",10350516791
72,기타포괄손익-공정가치측정금융상품평가손익,nan0,nan0,nan0,36316783805,-
73,관계기업투자의 기타포괄손익에 대한 지분,nan0,nan0,nan0,"(42,433,577,209)",943514130
74,후속적으로 당기손익으로 재분류되는 항목,nan0,nan0,nan0,"(63,842,389,126)","(171,685,390,629)"
75,해외사업장환산외환차이,nan0,nan0,nan0,"(60,575,393,798)","(27,944,918,496)"
76,매도가능금융자산평가손익,nan0,nan0,nan0,-,"(30,136,052,461)"
77,기타포괄손익-공정가치측정금융상품평가손익,nan0,nan0,nan0,"(210,439,728)",-
78,파생상품평가손익,20.00,nan0,nan0,"(17,610,545,031)",9042045551
79,관계기업투자의 기타포괄손익에 대한 지분,nan0,nan0,nan0,14553989431,"(122,646,465,223)"
80,총포괄이익,nan0,nan0,nan0,30025511790,334889460721
81,당기순이익의 귀속,nan0,nan0,nan0,nan,nan
82,지배기업 소유주지분,nan0,nan0,nan0,185072920512,468815014898
83,비지배지분,nan0,nan0,nan0,"(74,363,549,702)",26465805531
84,총포괄이익의 귀속,nan0,nan0,nan0,nan,nan
85,지배기업 소유주지분,nan0,nan0,nan0,104968523930,313996682204
86,비지배지분,nan0,nan0,nan0,"(74,943,012,140)",20892778517
87,주당이익,25.00,nan0,nan0,nan,nan
88,계속영업 보통주 기본주당이익,nan0,nan0,nan0,7105,7425
89,계속영업 우선주 기본주당이익,nan0,nan0,nan0,7155,7427
90,계속영업 보통주 희석주당이익,nan0,nan0,nan0,7105,7424
91,계속영업 우선주 희석주당이익,nan0,nan0,nan0,7155,7426
92,중단영업 보통주 기본주당이익,nan0,nan0,nan0,"(4,392)",200
93,중단영업 우선주 기본주당이익,nan0,nan0,nan0,"(4,392)",200
94,중단영업 보통주 희석주당이익,nan0,nan0,nan0,"(4,392)",200
95,중단영업 우선주 희석주당이익,nan0,nan0,nan0,"(4,392)",200
