,과 목,제58기,제57기,제56기
0,Ⅰ. 영업활동 현금흐름,-30792332091340,-48476820400450,-5355026694170
1,1. 영업활동에서 창출된 현금흐름,-36457154827060,-55007277560110,-9990813426770
2,가. 당기순이익(손실),1896759997380,2353421215130,-4302673720
3,나. 손익조정사항,-5095841539100,-3803807687860,-1924498914200
4,다. 자산부채의 증감,-33258073285340,-53556891087380,-8062011838850
5,2. 이자의 수취,8239738605760,8209524162070,6620555007810
6,3. 이자의 지급,-2766863684340,-2044109347910,-1731264358420
7,4. 배당금 수취,902869068930,586572344640,381833966900
8,5. 법인세 납부액,-710921254630,-221529999140,-635337883690
9,Ⅱ. 투자활동 현금흐름,-6555060004420,-1416027326040,-5842946521620
10,1. 장기성예금의 증감,-7478774087340,754767000000,3944140000000
11,2. 매도가능금융자산의 취득,-0,-26023476649630,-30203420724580
12,3. 매도가능금융자산의 처분,-0,21615672741560,20434356647400
13,4. 기타포괄손익-공정가치측정 금융자산의 취득,-33703706490130,-0,-0
14,5. 기타포괄손익-공정가치측정 금융자산의 처분,39940661087630,-0,-0
15,6. 만기보유금융자산의 취득,-0,-0,-8987400000
16,7. 만기보유금융자산의 처분,-0,100085000000,24605958690
17,8. 관계기업투자의 취득,-416071822600,-309500000000,-280000000000
18,9. 관계기업투자의 처분,34525668340,242443880000,282500000000
19,10. 종속기업취득 순현금유출,-0,-370329452540,-0
20,11. 종속기업처분 순현금유출입,842978430690,244518846440,-31282780120
21,12. 합병으로 인한 순현금유입,-0,-0,71410789290
22,13. 유형자산의 취득,-394956085160,-322011972410,-52142418420
23,14. 유형자산의 처분,1029531590,256236623930,165229620
24,15. 무형자산의 취득,-114325534290,-23012990270,-38753141470
25,16. 무형자산의 처분,44294780280,35487816190,16202067970
26,17. 투자부동산의 취득,-5298026966100,-0,-1740750000
27,18. 투자부동산의 처분,-0,36211400000,-0
28,19. 복구충당부채의 감소,-12688517330,nan0,nan0
29,20. 매각예정비유동자산의 처분,-0,2346880430690,-0
30,Ⅲ. 재무활동 현금흐름,37814834976490,50224842755960,10009102145930
31,1. 차입부채의 증감,39092729373720,50216941915960,8287026983210
32,2. 임대보증금의 증감,113676778610,7900840000,-17292015800
33,3. 배당금의 지급,-1391571175840,-0,-1099481915000
34,4. 자기주식의 처분,-0,-0,-12476298970
35,5. 자기주식의 처분,-0,-0,1071487266990
36,6. 유상증자,-0,-0,1779838125500
37,Ⅳ. 외화표시 현금및현금성자산의 환율변동효과,-1240651270,-10428831900,37857172430
38,Ⅴ. 현금및현금성자산의 순증감(Ⅰ+Ⅱ+Ⅲ+Ⅳ),466202229460,321566197570,-1151013897430
39,Ⅵ. 기초 현금및현금성자산,3118035650840,2796469453270,3947483350700
40,Ⅶ. 기말 현금및현금성자산,3584237880300,3118035650840,2796469453270
