,Unnamed: 0,제 28 기,제 27 기,제 26 기
0,자산,nan000000,nan000000,nan000000
1,유동자산,37128397000000,35199914000000,32450042000000
2,현금및현금성자산,6783035000000,7145842000000,7086957000000
3,단기금융상품,4218107000000,3540673000000,nan000000
4,매출채권,10844124000000,11538468000000,10398471000000
5,미수금,1932335000000,1991725000000,1828941000000
6,재고자산,8992740000000,8178936000000,6018855000000
7,단기투자증권,197717000000,nan000000,nan000000
8,매도가능금융자산,nan000000,188603000000,179448000000
9,기타의유동자산,3872992000000,2091550000000,6301260000000
10,매각예정자산,287347000000,524117000000,636110000000
11,비유동자산,82328594000000,74583549000000,70597295000000
12,장기금융상품,12549000000,200853000000,nan000000
13,장기매출채권,11373000000,12908000000,24188000000
14,장기미수금,313213000000,337118000000,205584000000
15,장기투자증권,2217401000000,nan000000,nan000000
16,매도가능금융자산,nan000000,1596033000000,1527092000000
17,관계기업및공동기업투자,19218345000000,14629502000000,11559899000000
18,유형자산,39715921000000,41295452000000,41032505000000
19,투자부동산,503966000000,622846000000,727783000000
20,영업권,2379526000000,857514000000,575233000000
21,무형자산,13811199000000,11473859000000,11197157000000
22,이연법인세자산,694690000000,734524000000,711591000000
23,기타의비유동자산,3450411000000,2822940000000,3036263000000
24,자산총계,119456991000000,109783463000000,103047337000000
25,부채,nan000000,nan000000,nan000000
26,유동부채,30007832000000,31368057000000,28716610000000
27,단기차입금,3426330000000,2999032000000,2614117000000
28,매입채무,9028488000000,9588642000000,8897260000000
29,미지급금,3468375000000,3610570000000,3241765000000
30,충당부채,352225000000,246800000000,420803000000
31,유동성장기부채,5024863000000,6548146000000,5629577000000
32,기타의유동부채,8603819000000,8230998000000,7850072000000
33,매각예정부채,103732000000,143869000000,63016000000
34,비유동부채,38561287000000,32658986000000,32004003000000
35,사채및장기차입금,28890533000000,23359518000000,23133506000000
36,장기미지급금,2011424000000,3746917000000,4601776000000
37,확정급여부채,420227000000,257783000000,229378000000
38,충당부채,276937000000,167002000000,104331000000
39,이연법인세부채,5491052000000,3988276000000,3098508000000
40,기타의비유동부채,1471114000000,1139490000000,836504000000
41,부채총계,68569119000000,64027043000000,60720613000000
42,자본,nan000000,nan000000,nan000000
43,지배기업의 소유주에게 귀속되는 자본,16627516000000,13660082000000,13112357000000
44,자본금,15385000000,15385000000,15385000000
45,기타불입자본,4631955000000,4112475000000,4741139000000
46,이익잉여금,12217319000000,9837619000000,8368122000000
47,기타자본구성요소,"(237,143)000000","(305,397)000000","(12,289)000000"
48,비지배지분,34260356000000,32096338000000,29214367000000
49,자본총계,50887872000000,45756420000000,42326724000000
50,자본과부채총계,119456991000000,109783463000000,103047337000000
51,매출액,101502020000000,90612832000000,80633713000000
52,매출원가,91851225000000,79918869000000,70962284000000
53,매출총이익,9650795000000,10693963000000,9671429000000
54,판매비와관리비,4962678000000,4948936000000,4365820000000
55,영업이익,4688117000000,5745027000000,5305609000000
56,금융수익,3924240000000,2973220000000,2536979000000
57,금융비용,4554737000000,3284786000000,3350587000000
58,지분법손익,3665477000000,2485005000000,721758000000
59,기타영업외수익,760123000000,610583000000,662478000000
60,기타영업외비용,954837000000,1085903000000,990880000000
