,과 목,제 63 (당) 기,제 62 (전) 기,제 61 (전전) 기
0,"Ⅰ.현금및현금성자산(주석 9,37)",3434345000000,4055552000000,4723503000000
1,"Ⅱ.당기손익인식금융자산(주석 4,9)",3488145000000,2861654000000,2094584000000
2,"Ⅲ.매도가능금융자산(주석 5,9)",147638963000000,146042900000000,138214702000000
3,"Ⅳ.만기보유금융자산(주석 6,9)",280873000000,297696000000,328992000000
4,"V.대출채권및기타수취채권(주석 7,9)",73182513000000,67072166000000,60503788000000
5,"Ⅵ.위험회피목적파생상품자산(주석 8,9)",710094000000,689402000000,314897000000
6,Ⅶ.관계기업투자(주석 10),1346611000000,1629010000000,1490325000000
7,"Ⅷ.금융리스채권(주석 7,9)",376524000000,559238000000,792448000000
8,IX.매각예정자산(주석 40),-000000,49691000000,260415000000
9,X.투자부동산(주석 11),7297969000000,6812422000000,6854774000000
10,XI.유형자산(주석 12),822577000000,1065818000000,1454095000000
11,XII.무형자산(주석 13),850605000000,1004315000000,876511000000
12,XIII.당기법인세자산,1187000000,543749000000,198549000000
13,XIV.이연법인세자산(주석 20),991000000,765000000,5322000000
14,XV.기타자산(주석 14),4062368000000,4705774000000,5035748000000
15,XVI.특별계정자산(주석 15),45933890000000,45323665000000,41505148000000
16,자 산 총 계,"289,427,655 ==================000000","282,713,817 ==================000000","264,653,801 ==================000000"
17,nan,nan000000,nan000000,nan000000
18,Ⅰ.보험계약부채(주석 16),173943448000000,166897872000000,158729147000000
19,Ⅱ.계약자지분조정(주석 18),8208565000000,9599619000000,8075517000000
20,"Ⅲ.당기손익인식금융부채(주석 9,19)",19419000000,15441000000,71468000000
21,"Ⅳ.기타금융부채(주석 9,19)",22484393000000,19663333000000,18546201000000
22,"Ⅴ.위험회피목적파생상품부채(주석 8,9)",266692000000,239429000000,721269000000
23,Ⅵ.당기법인세부채,363813000000,78715000000,69599000000
24,Ⅶ.이연법인세부채(주석 20),5293854000000,6668710000000,4976383000000
