,과 목,주 석,제 17(당)기,제 16(전)기
42,4. 기타포괄손익누계액,"33, 410",1642510846660,2397297567310
43,5. 이익잉여금,330,32798461056800,27548546561780
44,II. 비지배지분,nan0,5812952955060,2811251780400
45,자 본 총 계,nan0,48979276831660,41372621871480
46,부 채 및 자 본 총 계,nan0,640036740687450,487430428591480
47,I. 영업수익,nan0,88267225603150,66219753218650
48,1. 수수료수익,"34, 460",9992336105490,8338103641420
49,2. 이자수익,350,14501261953720,9172361277210
50,(1) 이자수익,nan0,-0,9172361277210
51,(2) 유효이자율법으로 인식하는 이자수익,nan0,9585452540780,-0
52,(3) 기타 이자수익,nan0,4915809412940,-0
53,3. 배당금수익,"36, 460",527909025110,687301200500
54,4. 금융자산(부채)평가및처분이익,"37, 460",58217682119560,45841096141540
55,5. 외환거래이익,nan0,4349211526130,2132143429550
56,6. 기타영업수익,380,678824873140,48747528430
57,II. 영업비용,nan0,"(8,205,261,549,312)0","(5,967,714,410,985)0"
58,1. 수수료비용,340,"(291,049,883,142)0","(177,654,213,941)0"
59,2. 이자비용,350,"(562,438,072,967)0","(354,328,422,028)0"
60,3. 금융자산(부채)평가및처분손실,"37, 460","(5,853,713,902,875)0","(4,353,598,508,667)0"
61,4. 신용손실충당금 전입액,nan0,"(64,102,244,412)0",-0
62,5. 외환거래손실,nan0,"(492,477,478,398)0","(255,158,244,117)0"
63,6. 판매비와관리비,"39, 460","(919,058,547,023)0","(794,231,672,208)0"
64,7. 기타영업비용,380,"(22,421,420,495)0","(32,743,350,024)0"
65,III. 영업이익,nan0,6214610110030,6542609108800
66,IV. 영업외수익,400,1168737800010,295720394650
67,V. 영업외비용,400,"(25,090,328,988)0","(40,489,998,167)0"
68,VI. 법인세비용차감전순이익,nan0,7132444620160,6433429521780
69,VII. 법인세비용,320,"(197,297,447,148)0","(180,258,638,896)0"
70,VIII. 당기순이익,nan0,5159470148680,4630843132820
71,IX. 기타포괄손익,nan0,164824140190,144019202680
72,1. 후속적으로 당기손익으로 재분류 될 수 있는 포괄손익,nan0,258005494320,135680057670
73,(1) 매도가능금융상품평가손익,nan0,-0,697749599460
74,(2) 위험회피파생상품평가손익,nan0,-0,5268866650
75,(3) 기타포괄손익-공정가치로 측정하는 채무상품 - 공정가치 변동,nan0,95609445080,-0
76,(4) 기타포괄손익-공정가치로 측정하는 채무상품 - 신용위험 변동,nan0,886005760,-0
77,(5) 지분법자본변동,nan0,"(430,234,793)0","(372,016,742)0"
78,(6) 외환차이,nan0,165812391410,"(56,361,824,102)0"
79,2. 후속적으로 당기손익으로 재분류 될 수 없는 포괄손익,nan0,"(9,318,135,413)0",8339145010
80,(1) 기타포괄손익-공정가치로 측정하는 지분상품,nan0,"(5,483,848,319)0",-0
81,(2) 확정급여부채 재측정요소,nan0,"(3,834,287,094)0",8339145010
82,X. 당기총포괄손익,nan0,5324294288870,4774862335500
83,1. 당기순이익의 귀속,nan0,5159470148680,4630843132820
84,(1) 지배기업주주지분순이익,nan0,5295559480340,5102150179200
85,(2) 비지배지분순손익,nan0,"(13,608,933,166)0","(47,130,704,638)0"
86,2. 당기총포괄이익의 귀속,nan0,5324294288870,4774862335500
87,(1) 지배기업주주지분총포괄이익,nan0,5456345445420,5250456646210
88,(2) 비지배지분총포괄손익,nan0,"(13,205,115,655)0","(47,559,431,071)0"
89,XI. 주당이익,nan0,nan0,nan0
90,1. 기본 및 희석주당이익,nan0,nan0,nan0
91,(1) 보통주,420,90620,87310
92,(2) 1종 종류주식,420,91240,87930
