,Unnamed: 0,제 46 기,제 45 기,제 44 기
0,자산,nan0,nan0,nan0
1,유동자산,2948636101400,258032863231.00,2769647880910
2,현금및현금성자산,478079404580,31530038905.00,444990476330
3,금융기관예치금,41700000000,0.00,104000000000
4,당기손익인식지정금융자산,00,9602715863.00,00
5,매매목적파생상품자산,177600000,0.00,00
6,매출채권,1031169591920,92863797392.00,1055918248160
7,기타채권,35231142610,1517053145.00,35082472140
8,당기법인세자산,3395006390,171943771.00,214645060
9,기타유동자산,54276958670,4927000400.00,58155194580
10,재고자산,1304606397230,108696131359.00,1071286844640
11,매각예정자산,00,8724182396.00,00
12,비유동자산,4738226680880,455740091822.00,4509868065850
13,장기금융기관예치금,00,1410000000.00,10500000000
14,매도가능금융자산,54975841700,3663874450.00,11251297000
15,만기보유금융자산,55050000,0.00,00
16,장기매출채권,00,18135089.00,156014190
17,장기기타채권,66041220180,6576468575.00,58980978520
18,관계기업주식,5558500000,555850000.00,48180651490
19,이연법인세자산,205861593620,20169804930.00,264300318670
20,기타비유동자산,1836477170,214490328.00,2437708370
21,유형자산,4134728330170,392536537237.00,3785984833940
22,투자부동산,31693500120,3212368794.00,32553875760
23,무형자산,237476167920,27382562419.00,295522387910
24,자산총계,7686862782280,713772955053.00,7279515946760
25,부채,nan0,nan0,nan0
26,유동부채,4168102860500,137682130812.00,1542212011870
27,매매목적파생상품부채,13900000,0.00,00
28,매입채무,672805738590,57540710006.00,614283230440
29,기타채무,418839025330,41262754234.00,490545941570
30,단기차입금,616844681860,22983074170.00,340638562190
31,유동성장기부채,2400000000000,0.00,4669871830
32,당기법인세부채,4946882250,1335642718.00,12222742870
33,유동성충당부채,11021943390,1878411747.00,22461545020
34,기타유동부채,43630689080,6294237725.00,57371366940
35,매각예정자산관련부채,00,6387300212.00,00
36,기타유동금융부채,00,0.00,11790500
37,유동성금융리스부채,00,0.00,6960510
38,비유동부채,207593331400,259522415892.00,2761103672120
39,장기기타채무,126462459130,12650847453.00,126934959460
40,장기차입금,00,240000000000.00,2476663203740
41,순확정급여부채,79740389520,6507962604.00,152713827530
42,충당부채,1390482750,363605835.00,4791681390
43,부채총계,4375696191900,397204546704.00,4303315683990
44,자본,nan0,nan0,nan0
45,지배기업의 소유주에게 귀속되는 자본,3311151779980,316567016780.00,2976200262770
46,자본금,2372307570000,237230757000.00,2372307570000
47,이익잉여금,936339086340,77727550542.00,609868989030
48,기타포괄손익누계액,"(652,760,717)0",705436157.00,"(298,583,441)0"
49,기타자본구성요소,9032730810,903273081.00,"(299,046,185)0"
50,비지배지분,14810400,1391569.00,00
