,Unnamed: 0,제 52 기,제 51 기,제 50 기
0,자산,nan0,nan0,nan0
1,유동자산,2564733630750,2937322714180,2177733215470
2,현금및현금성자산,162560948670,689196520120,176813640460
3,매출채권및기타채권,1072037277590,964839859030,1139698022380
4,재고자산,379028463840,480571275370,502027566650
5,매도가능금융자산,160050000,1887300000,248300000
6,기타금융자산,896512950910,753568414260,287079242070
7,기타유동자산,46705965180,47021872680,70474804100
8,당기법인세자산,7727974560,237472720,1391639810
9,비유동자산,2566740996140,2326062914850,3187891792060
10,매출채권및기타채권,nan0,6377800020,19133400000
11,매도가능금융자산,192550877400,179079298200,264311995400
12,유형자산,1620334248020,1910774784560,2354982974150
13,무형자산,31175401130,26206923350,40306123900
14,투자부동산,29015633280,29374060970,29732488660
15,기타금융자산,621281470290,115383584590,479112747070
16,기타비유동자산,432948170,7471740420,127814980
17,확정급여자산,55416523240,32972547470,nan0
18,이연법인세자산,16533894610,18422175270,184247900
19,자산총계,5131474626890,5263385629030,5365625007530
20,부채,nan0,nan0,nan0
21,유동부채,545345298480,711589028850,868191845350
22,매입채무및기타채무,458761141030,508896588840,709696312270
23,단기차입금,65774171470,105390881120,146926623500
24,유동성장기차입금,nan0,nan0,400000000
25,기타유동금융부채,318680000,nan0,nan0
26,기타유동비금융부채,18906769420,19818177200,9396711650
27,당기법인세부채,1584536560,77483381690,1772197930
28,비유동부채,25834654190,9239965280,120468098580
29,장기차입금,nan0,nan0,1200000000
30,확정급여부채,4783110070,4874969160,75438520830
31,기타금융부채,3746195260,4282850640,8113597040
32,기타비유동비금융부채,17050548720,nan0,nan0
33,이연법인세부채,254800140,82145480,35715980710
34,부채총계,571179952670,720828994130,988659943930
35,자본,nan0,nan0,nan0
36,자본금,113678065000,113678065000,113678065000
37,자본잉여금,483524834160,483524834160,483524834160
38,기타자본,"(7,167,910,343)0","(2,131,616,543)0","(2,131,616,543)0"
39,기타포괄손익누계액,5980474840,"(684,933,441)0",10024465350
40,기타적립금,3857540554450,3650740554450,2851590765810
41,이익잉여금(결손금),171249849200,322778681130,939463098710
42,지배기업의 소유주에게 귀속되는 자본,4560294674220,4542556634900,4376965063600
43,자본총계,4560294674220,4542556634900,4376965063600
