,Unnamed: 0,제 50 기말,제 49 기말,제 48 기말,제 50 기,제 49 기,제 48 기
47,충당부채,248851000000,514714000000,420155000000,nan,nan,nan
48,확정급여부채,19909000000,50013000000,47751000000,nan,nan,nan
49,기타종업원급여충당부채,nan000000,6323000000,6062000000,nan,nan,nan
50,파생상품부채,nan000000,20759000000,24136000000,nan,nan,nan
51,확정계약부채,nan000000,880000000,173000000,nan,nan,nan
52,이연법인세부채,224136000000,361337000000,331532000000,nan,nan,nan
53,비유동회생채무,154853000000,nan000000,nan000000,nan,nan,nan
54,부채총계,1333579000000,7221812000000,6702024000000,nan,nan,nan
55,자본,nan000000,nan000000,nan000000,nan,nan,nan
56,자본금,89049000000,1934619000000,1934614000000,nan,nan,nan
57,자본잉여금,"(15,100)000000","(15,100)000000","(15,100)000000",nan,nan,nan
58,주식할인발행차금,"(6,789,802)000000","(1,815,996)000000","(1,816,003)000000",nan,nan,nan
59,기타자본,190122000000,211138000000,192024000000,nan,nan,nan
60,출자전환채무,14679000000,nan000000,nan000000,nan,nan,nan
61,이익잉여금,7271741000000,"(3,000,232)000000","(2,014,250)000000",nan,nan,nan
62,비지배지분,"(197,974)000000","(31,306)000000",62482000000,nan,nan,nan
63,자본총계,562715000000,"(2,716,877)000000","(1,656,233)000000",nan,nan,nan
64,자본과부채총계,1896294000000,4504935000000,5045791000000,nan,nan,nan
65,수익(매출액),nan000000,nan000000,nan000000,1068181,1849293,2998602
66,매출원가,nan000000,nan000000,nan000000,1217378,1972379,3216190
67,매출총이익,nan000000,nan000000,nan000000,"(149,197)","(123,086)","(217,588)"
68,판매비와관리비,nan000000,nan000000,nan000000,49475,72861,96140
69,영업이익,nan000000,nan000000,nan000000,"(198,672)","(195,947)","(313,728)"
70,기타수익,nan000000,nan000000,nan000000,14163,35091,56817
71,기타비용,nan000000,nan000000,nan000000,377928,200289,218383
72,금융수익,nan000000,nan000000,nan000000,5817158,379031,2681729
73,금융비용,nan000000,nan000000,nan000000,1629706,844152,694861
74,지분법이익,nan000000,nan000000,nan000000,nan,nan,nan
75,지분법손실,nan000000,nan000000,nan000000,123,263,12
76,법인세비용차감전순이익(손실),nan000000,nan000000,nan000000,3624892,"(826,529)",1511562
77,법인세수익(비용),nan000000,nan000000,nan000000,153039,"(50,946)","(24,463)"
78,계속사업당기순이익(손실),nan000000,nan000000,nan000000,3777931,"(877,475)",1487099
79,중단영업,nan000000,nan000000,nan000000,nan,nan,nan
80,중단영업이익(손실),nan000000,nan000000,nan000000,"(440,867)","(181,112)","(770,725)"
81,당기순이익(손실),nan000000,nan000000,nan000000,3337064,"(1,058,587)",716374
82,기타포괄손익,nan000000,nan000000,nan000000,"(35,884)",47237,65811
83,보험수리적손익,nan000000,nan000000,nan000000,3646,"(2,100)","(1,433)"
84,유형자산재평가차익,nan000000,nan000000,nan000000,12266,-,nan
85,매도가능금융자산평가손익,nan000000,nan000000,nan000000,"(5,142)",873,(44)
86,지분법자본변동,nan000000,nan000000,nan000000,7,(10),8
87,해외사업장환산손익,nan000000,nan000000,nan000000,"(46,661)",48474,67280
88,총포괄손익 합계,nan000000,nan000000,nan000000,3301180,"(1,011,350)",782185
89,당기순이익(손실)의 귀속,nan000000,nan000000,nan000000,nan,nan,nan
90,지배기업 소유주지분,nan000000,nan000000,nan000000,nan,nan,nan
91,계속영업이익(손실),nan000000,nan000000,nan000000,3799084,"(834,152)",1529820
