,과 목,제56기,제55기,제54기
0,Ⅰ. 영업활동 현금흐름,-5355026694170,-395456791760,5150053016290
1,1. 영업활동에서 창출된 현금흐름,-9990813426770,-4846741890870,1840279024370
2,가. 당기순이익,-4302673720,2795515166940,373869868610
3,나. 손익조정사항,-1924498914200,-5956372804270,-4751440666830
4,다. 자산부채의 증감,-8062011838850,-1685884253540,6217849822590
5,2. 이자의 수취,6620555007810,6496744708580,6113596618300
6,3. 이자의 지급,-1731264358420,-1879514022240,-2682640582520
7,4. 배당금 수취,381833966900,407429460370,242160171860
8,5. 법인세 납부액,-635337883690,-573375047600,-363342215720
9,Ⅱ. 투자활동 현금흐름,-5842946521620,-1146879516550,-10172923259260
10,1. 장기성예금의 증감,3944140000000,6086661203380,-6445288187220
11,2. 매도가능금융자산의 취득,-30203420724580,-22282017558860,-6776751743710
12,3. 매도가능금융자산의 처분,20434356647400,14932511541320,6254205668940
13,4. 만기보유금융자산의 취득,-8987400000,-8915400000,-100581488480
14,5. 만기보유금융자산의 처분,24605958690,8311553240,3774649900
15,6. 관계기업투자의 취득,-280000000000,-19250000000,-39330000000
16,7. 관계기업투자의 처분,282500000000,9582500000,4890000000
17,8. 종속기업취득 순현금유출,-0,-15396200000,-87406898380
18,9. 종속기업처분 순현금유입,-31282780120,127641182850,395324909450
19,10. 합병으로 인한 순현금유입,71410789290,-0,-0
20,11. 유형자산의 취득,-52142418420,-34658142460,-56007089790
21,12. 유형자산의 처분,165229620,2995154550,900161538370
22,13. 무형자산의 취득,-38753141470,-17996671120,-40929456250
23,14. 무형자산의 처분,16202067970,32707000000,7573105100
24,15. 투자부동산의 취득,-1740750000,-84195570180,-4353271256340
25,16. 투자부동산의 처분,-0,115139890730,165901750030
26,17. 기타의 증감,-0,-0,-5188760880
27,Ⅲ. 재무활동 현금흐름,10009102145930,-1239944775610,5887633387310
28,1. 차입부채의 증감,8287026983210,-1114060637260,6179254994260
29,2. 임대보증금의 증감,-17292015800,-15936156350,76074251930
30,3. 배당금의 지급,-1099481915000,-109947982000,-367695858880
31,4. 자기주식의 처분,-12476298970,-0,-0
32,5. 자기주식의 처분,1071487266990,-0,-0
33,6. 유상증자,1779838125500,-0,-0
34,Ⅳ. 외화표시 현금및현금성자산의 환율변동효과,37857172430,7104825050,111968555270
35,Ⅴ. 현금및현금성자산의 순증감(Ⅰ+Ⅱ+Ⅲ+Ⅳ),-1151013897430,-2775176258870,976731699610
36,Ⅵ. 기초 현금및현금성자산,3947483350700,6722659609570,5745927909960
37,Ⅶ. 기말 현금및현금성자산,2796469453270,3947483350700,6722659609570
