,과 목,주 석,제 15(당)기,제 14(전)기,주석
0,자 산,nan0,nan0,nan0,nan
1,I. 현금및예치금,"4, 35, 39, 40, 420",60637760499140,58558041623480,nan
2,II. 단기매매금융자산,"5, 39, 40, 420",190195025863190,171023575654570,nan
3,III. 파생금융상품자산,"17, 39, 40, 42, 430",3210693438930,2818164601280,nan
4,IV. 당기손익인식지정금융자산,"6, 39, 40, 420",7627557060370,5815556823630,nan
5,V. 매도가능금융자산,"7, 39, 40, 420",41277054442630,20826691393620,nan
6,VI. 관계기업투자,80,3495393123820,2208384861190,nan
7,VII. 대출채권,"9, 39, 40, 420",53483197921730,40660835240610,nan
8,VIII. 유형자산,100,3053369699930,3095908391310,nan
9,IX. 무형자산,110,958596764110,879844568220,nan
10,X. 투자부동산,120,369295416490,470322600880,nan
11,XI. 당기법인세자산,240,7544604910,3597297350,nan
12,XII. 이연법인세자산,240,982313830,1680847240,nan
13,XIII. 기타금융자산,"13, 38, 39, 40, 42, 430",7566260457860,8297693526640,nan
14,XIV. 기타비금융자산,"14, 380",1299402353950,550431697350,nan
15,자 산 총 계,nan0,373182133960890,315210729127370,nan
16,부 채,nan0,nan0,nan0,nan
17,I. 예수부채,"15, 39, 40, 420",53775101803740,47420396496520,nan
18,II. 단기매매금융부채,"16, 39, 400",19699945620820,17308524039290,nan
19,III. 파생금융상품부채,"17, 39, 40, 420",7798632935010,9338968586360,nan
20,IV. 당기손익인식지정금융부채,"18, 39, 400",83970969509100,67287383858850,nan
21,V. 차입부채,"19, 39, 40, 420",161771506478740,132372888158610,nan
22,VI. 확정급여부채,200,107459118410,185907021290,nan
23,VII. 충당부채,210,425334938710,70484014280,nan
24,VIII. 당기법인세부채,240,267256376320,313891163530,nan
25,IX. 이연법인세부채,240,541895354770,509195342930,nan
26,X. 기타금융부채,"22, 39, 40, 420",9368873235950,8200699584900,nan
27,XI. 기타비금융부채,230,460187324030,493895923580,nan
28,부 채 총 계,nan0,338187162695600,283502234190140,nan
29,자 본,nan0,nan0,nan0,nan
30,I. 지배기업주주지분,nan0,33778006359610,31701769247550,nan
31,1. 자본금,250,3079212150000,3079212150000,nan
32,2. 자본잉여금,250,6034173566630,6034173566630,nan
33,3. 자본조정,250,"(50,142,077,042)0","(50,142,077,042)0",nan
34,4. 기타포괄손익누계액,"25, 330",2248991100300,2382493743110,nan
35,5. 이익잉여금,250,22917050313100,20707310558230,nan
36,II. 비지배지분,nan0,1216964905680,6725689680,nan
37,자 본 총 계,nan0,34994971265290,31708494937230,nan
38,부 채 및 자 본 총 계,nan0,373182133960890,315210729127370,nan
39,I. 영업수익,nan0,53340298178060,46605010397260,nan
40,1. 수수료수익,"26, 440",7312451240180,6966749978990,nan
41,2. 이자수익,"27, 440",7412401574250,7133104517450,nan
42,3. 배당금수익,"28, 380",316267894210,208704414120,nan
43,4. 금융자산(부채)평가및처분이익,"29, 440",35783166287250,31460430642420,nan
44,5. 외환거래이익,nan0,2420337561140,726903609920,nan
45,6. 기타영업수익,"30, 380",95673621030,109117234360,nan
